Longitude,Latitude,Plot,TFamily,Line,Rep,SC,SC_logT,SC_sqrtT,DT,DT_logT,DT_sqrt_T,DPS,DPS_logT,DPS_sqrtT,15NT1,15NT1_logT,15NT1_sqrtT,15NT2,15NT2_logT,15NT2_sqrtT,15NT3,15NT3_logT,15NT3_sqrtT,AR,AR_logT,AR_sqrtT,PDM,PDM_logT,PDM_sqrtT,PTN,PTN_logT,PTN_sqrtT,GDM,GDM_logT,GDM_sqrtT,GTN,GTN_logT,GTN_sqrtT
3,1,3.01,TB,B 25,1,5,0.77815125,2.34520788,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,0.425968732,1.471960144,117.17,2.072494985,10.84742673,1.94,0.46834733,1.562049935,2.6,0.560305243,1.770122406,2.335,0.523095838,1.683745824
3,2,3.02,TB,B 28,1,14,1.176091259,3.807886553,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,0.425968732,1.471960144,113.83,2.060067972,10.69267662,1.84,0.45331834,1.529705854,1.1,0.315270435,1.251665557,2.23,0.509202522,1.652271164
3,3,3.03,TB,B 07,1,13,1.146128036,3.674234614,100,2.004321374,10.02496883,100,2.004321374,10.02496883,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33,0.522878745,1.683250823,84.33,1.931118711,9.210501253,1.01,0.303196057,1.228820573,4.8,0.760924848,2.29492193,2.09,0.489958479,1.609347694
3,4,3.04,TB,B 30,1,13,1.146128036,3.674234614,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67,0.669006781,2.041241452,151.67,2.183744223,12.33558538,1.13,0.328379603,1.276714533,NA,NA,NA,NA,NA,NA
3,5,3.05,TB,B 50,1,10,1.041392685,3.240370349,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00,0.698970004,2.121320344,151.50,2.183269844,12.32882801,1.44,0.387389826,1.392838828,0.3,0.102662342,0.875595036,2.12,0.494154594,1.618641406
3,6,3.06,T,Positive,1,12,1.113943352,3.535533906,100,2.004321374,10.02496883,100,2.004321374,10.02496883,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.33,1.091080469,3.43996124,387.67,2.589577296,19.70194576,1.29,0.359835482,1.337908816,0.9,0.271066772,1.169045194,2.79,0.57863921,1.813835715
3,7,3.07,TD,D 03,2,10,1.041392685,3.240370349,80,1.908485019,8.972179222,80,1.908485019,8.972179222,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33,0.726998728,2.198484326,238.17,2.378700651,15.4488403,1.51,0.399673721,1.417744688,5.6,0.819543936,2.469817807,2.44,0.536558443,1.71464282
3,8,3.08,TD,D 81,2,15,1.204119983,3.937003937,85,1.934498451,9.246621004,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00,0.477121255,1.58113883,286.33,2.458386011,16.93615462,1.16,0.334453751,1.288409873,75.3,1.882714228,8.708233652,2.04,0.482873584,1.593737745
3,9,3.09,TD,D 88,2,14,1.176091259,3.807886553,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00,0.77815125,2.34520788,216.83,2.338124337,14.74222959,1.15,0.33243846,1.284523258,18.4,1.28780173,4.347413024,2.15,0.498310554,1.62788206
3,10,3.10,TD,D 11,2,12,1.113943352,3.535533906,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67,0.669006781,2.041241452,200.50,2.30427505,14.17744688,1.29,0.359835482,1.337908816,8.4,0.973127854,2.983286778,2.35,0.525044807,1.688194302
3,11,3.11,TD,D 61,2,14,1.176091259,3.807886553,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33,0.726998728,2.198484326,221.33,2.347004579,14.89407041,1.23,0.348304863,1.315294644,38.0,1.590693256,6.202150165,2.245,0.511214701,1.656804153
3,12,3.12,TD,D 115,2,10,1.041392685,3.240370349,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.33,0.801632346,2.415229458,258.00,2.413299764,16.07793519,1.35,0.371067862,1.360147051,24.2,1.400825697,4.966554809,1.98,0.474216264,1.574801575
4,1,4.01,TB,B 26,1,10,1.041392685,3.240370349,100,2.004321374,10.02496883,100,2.004321374,10.02496883,131.84,2.123321531,11.50381486,127.42,2.108617445,11.30997345,130.17,2.117839564,11.43116459,3.00,0.602059991,1.870828693,97.50,1.99343623,9.899494937,2.18,0.50242712,1.637070554,NA,NA,NA,NA,NA,NA
