<Trait>	SC	15NT1	15NT2	15NT3	DT	DPS	AR	PDM	PTN_percent	PTN	GDM	GTN_percent	GTN
10_01:486532	12.06173693	92.54158269	83.36496228	76.09999141	73.51343515	82.83116448	3.447246538	216.500966	1.248600777	2.676792723	24.7773991	2.149559395	0.528598525
10_02:486533	4.671863846	89.44449875	84.93641395	76.96900903	83.14195995	88.81029553	3.533874237	201.609964	1.173334886	2.285899117	25.31799693	2.029265516	0.481685859
10_03a:486534	11.0574851	96.73566474	88.17015626	79.08450833	82.17224242	86.13151182	3.406398231	236.252815	1.221873874	2.81799939	17.53555006	2.195772464	0.371691236
10_05:486536	7.844530624	101.4421038	88.01135758	80.08499644	80.24929909	82.78745457	2.434043888	198.8298686	1.154429709	2.23900875	11.79004839	2.064614414	0.228501519
11_01:486537	4.618112096	NA	NA	78.66263915	81.36958446	85.39022596	3.744283137	209.218594	1.136350967	2.418644948	28.27122142	2.078721809	0.577628458
11_02:486538	11.47541297	NA	90.68149443	81.1236287	83.80525544	88.76454645	2.584222111	238.7913114	1.116194077	2.529291144	24.23983693	2.115069766	0.499922004
11_03a:486539	3.915710238	NA	NA	NA	85.72323466	84.81355548	3.606253574	199.2874659	1.285388042	2.451325305	NA	NA	NA
11_04:486540	12.58488874	96.69191762	89.63327959	79.40776888	81.37202663	80.65261554	4.153209178	203.1057475	1.210544187	2.38953168	13.32180493	2.106356706	0.270779558
11_05:486541	12.80367019	96.54573425	90.70123889	81.57332038	86.19527148	85.39013289	2.166039114	202.9022385	1.103025139	2.116064559	14.24903211	2.360986827	0.299385812
11_06:486542	4.56836351	NA	89.09760248	76.50169204	96.52925181	102.8704347	4.056773384	247.9432037	1.200216092	2.921623933	7.524851671	2.450539279	0.152281302
12_01:486543	13.12977726	94.79534426	85.49958697	74.84497106	80.70274689	80.94896581	3.264544037	220.9355345	1.149002382	2.525154306	22.96919449	2.1063163	0.469920888
12_04:486544	13.5541806	95.79861166	88.15211343	77.62899611	82.99486058	85.53659975	4.531256315	200.341956	1.146058866	2.152880653	14.63922636	2.138339165	0.318270944
12_05:486545	13.50214895	98.99660719	89.15387439	78.33704365	82.19768318	82.94007845	2.581396606	204.3510144	1.069170662	2.124795158	25.5058015	2.050558678	0.50787188
12_06:486546	2.996093112	103.683029	91.34080796	78.04551023	99.28928724	103.3106182	3.637473211	202.227895	1.27640126	2.515376343	10.35594005	2.257103849	0.19305975
13_01:486547	6.533747761	101.1734901	90.59627274	77.33348604	95.48838536	103.0264205	2.523285849	205.1765112	1.20006575	2.401954466	16.3148785	2.184349143	0.296524764
13_03:486549	11.74108086	96.04022876	91.78049032	79.17100989	77.2507508	83.05543378	3.213180479	220.5365445	1.151100178	2.395476414	27.75718692	1.914131342	0.50208672
13_04:486550	13.06612952	99.60472525	91.31609639	80.62647763	82.83412786	88.23542886	2.200341907	204.7638761	1.138811847	2.198156245	14.16199673	2.148276117	0.318326751
13_05:486551	11.0428635	106.3459794	94.4423258	86.99462644	80.07381018	82.74921815	3.895305136	192.6428626	1.128911883	2.033976789	53.08317585	1.932880702	0.961309863
13_06:486552	13.57391827	108.4483075	95.31860595	82.46923091	81.02446201	83.2518738	3.418847016	190.9628196	0.978806829	1.758221762	35.39265935	2.134053807	0.697207436
14_01:486553	11.77600936	91.37124509	84.26916762	74.43691437	83.28913482	88.97777495	1.566545315	209.5404769	1.157695518	2.389421579	18.78018552	2.152490476	0.29115302
14_02:486554	7.809176191	98.22692829	93.73340312	83.63209799	96.42179924	103.3392026	3.214177029	173.2901154	1.173146926	1.952578176	NA	NA	NA
14_03:486555	5.988954749	103.2085325	94.32706355	80.33619693	92.26303007	92.57507318	3.100632873	180.2804774	1.253190032	2.162032479	18.46297381	2.068547173	0.265475365
14_04:486556	6.593940137	96.83242736	91.21906569	79.8985359	86.26375625	88.68736496	2.862563546	223.1204204	1.326015818	2.990253436	23.47561696	2.204354596	0.425695767
14_05:486557	14.16872222	79.74113988	NA	80.49234597	57.97579732	64.88335669	0.694029185	206.723232	0.640702734	1.322986969	179.9269342	1.627212352	2.941283456
14_06:486558	13.05539574	94.40571894	87.61768754	80.02840244	86.22294917	88.92923525	2.954977139	203.7737541	1.125126737	2.176681266	24.90155507	2.124191844	0.506077531
15_01a:486559	8.616186776	102.4795973	94.71686703	79.97938904	84.80944722	84.59541486	3.368709046	189.6309161	1.222129733	2.263120317	NA	NA	NA
15_03:486560	8.386878979	93.94544218	87.13322865	79.44440852	80.02047254	82.77681886	4.06215189	239.1698145	1.168349147	2.714513992	11.82245877	2.127472577	0.244746607
15_04:486561	11.79513954	96.21935953	85.88350716	78.44076255	77.5616749	80.36512287	2.674792198	197.6488346	1.16169246	2.194542927	16.53989297	2.237985087	0.367096689
15_05:486562	5.880979686	96.27192623	88.92244708	78.73250553	88.50221229	91.93720837	3.944296036	207.979509	1.103163803	2.222560504	12.4291489	2.104484596	0.246743951
15_06:486563	12.25882986	101.131392	90.90552135	82.49057156	80.80150673	80.47503892	3.26525249	196.8016255	1.182619599	2.222395848	13.92359011	2.071033777	0.289182318
16_02:486564	12.06131331	99.22073031	90.43825987	79.52696793	92.61214567	92.58007045	3.393059486	241.971785	1.208806513	2.710067648	28.71141	2.15248534	0.569237063
16_03a:486565	7.53461803	93.12448475	84.76985609	76.6913997	79.83609597	88.37752927	4.168503114	192.475472	1.260111379	2.286791625	8.578174399	2.226615481	0.19799487
16_04:486566	9.149570022	102.2667455	90.35379561	NA	84.4345011	91.91320918	4.856145488	197.7728888	1.375514627	2.600578915	NA	NA	NA
16_05:486567	9.638014255	100.7024791	93.50485768	80.7949142	76.23755312	80.45158514	2.343862786	207.6260291	1.178400864	2.321547142	10.38023149	2.078252074	0.167629054
17_01:486568	13.06051487	104.846121	90.14953887	80.28034797	82.96913625	85.35252436	3.065712101	215.9862006	1.136086068	2.410271967	24.02332065	2.163991583	0.473786821
17_02:486569	4.760905481	NA	89.87442848	NA	85.26450453	85.25040265	2.013917506	240.5994521	1.360586095	3.406609852	13.57719068	2.070192475	0.261231465
17_05a:486570	9.283383055	99.71121493	91.71694051	79.07762098	80.83337475	85.21966554	1.565830382	167.075862	1.077535686	1.888972125	22.26975129	2.050093704	0.46249288
18_01:486571	11.097518	100.1659631	95.20750332	81.7944754	82.45749095	88.36447238	2.581739773	209.7421484	1.115911342	2.170675382	23.31997262	2.067492378	0.430978568
18_02a:486572	13.20600913	94.309089	87.47221262	77.68632873	85.30549372	85.12253036	2.465687601	209.811844	1.003056121	2.053322976	15.97171186	2.1376462	0.327872927
18_03a:486573	11.59811802	96.38428298	90.78860808	78.58031011	80.48468261	80.47014332	3.373633903	190.7354179	1.08900534	1.975756904	21.48005074	2.202317049	0.466107818
18_04:486574	5.95877505	99.14049531	93.68585788	78.69259456	83.19152173	85.39557429	3.785258804	174.6114321	1.360556498	2.258718949	11.61481599	2.295332707	0.259778294
18_05:486575	14.21545947	94.2237671	86.5940534	80.0257642	80.75680502	85.56069724	3.003450287	227.6149613	1.056889218	2.211746258	25.39786366	2.05494918	0.482262966
19_05:486576	6.919157439	107.3728966	95.22881718	79.94022918	138.911537	139.4533241	5.927491947	224.2012036	1.286535385	2.920325716	7.352717757	2.35513272	0.150834816
19_06:486577	2.287107162	NA	NA	76.13416904	136.0658367	139.6215007	5.90231847	191.7497928	1.374174436	2.550328162	NA	NA	NA
20_01:486578	10.10958586	104.2359617	91.85519019	82.41496857	132.1650792	131.8955497	2.833421241	164.5753872	1.28782687	2.004690676	10.50477829	2.093215463	0.196434944
20_02a:486579	3.637330385	90.74806046	88.83718759	79.61636645	140.8649678	142.0606227	6.717874187	219.7643146	1.325198933	2.98109954	NA	NA	NA
20_03:486580	2.470459776	101.7136312	88.6511981	73.49750287	129.1453403	138.9629478	8.175233755	217.032806	1.551091138	3.463905403	12.67671998	2.075948425	0.270584061
20_04:486581	6.035232289	105.9039064	89.97894003	78.44252377	118.7656359	122.641087	6.060960885	203.9103241	1.434252197	2.87821704	11.81577243	2.191565782	0.233840175
20_06:486582	6.870449328	102.1902294	100.1224935	82.76273789	135.5792292	139.183892	8.371787337	205.6640216	1.406063925	2.871954556	4.277241909	2.461349145	0.117984272
21_02a:486583	3.990775404	NA	NA	83.91474376	135.5262799	136.0879581	3.173762836	190.9065702	1.342640134	2.385135429	NA	NA	NA
21_04:486584	5.514206699	NA	NA	79.94379257	128.8573314	129.5865139	4.995124996	223.4622612	1.336342503	3.044527483	NA	NA	NA
21_05:486585	11.09094893	99.50923013	91.66784016	82.80792402	135.1881774	142.4104243	5.908540854	186.3024129	1.329336139	2.261279003	15.43909279	2.352254159	0.260266614
22_01:486587	5.343759359	87.96741987	90.71155012	78.10891845	136.1815633	139.6596117	3.436999383	175.1334588	1.505673118	2.42935298	NA	NA	NA
22_02:486588	5.193326783	111.6550271	92.75296167	79.99634525	129.2920022	132.791932	6.880800299	238.8469276	1.242951648	2.769349536	10.31085005	2.28631704	0.207713295
22_03:486589	13.36533921	96.3703979	NA	NA	59.02871911	62.87856722	1.668769044	146.8759052	1.132378207	1.566636616	23.09290836	2.183608796	0.482098647
22_04:486590	4.688632771	104.5782314	90.94046437	80.76086476	122.4590079	129.890073	6.941384613	243.1019756	1.310616744	3.359893831	NA	NA	NA
22_06:486591	8.184064906	102.1177958	94.56756874	79.94896844	125.6983887	129.5510297	5.175775687	246.8234722	1.310110014	3.305862201	13.72359537	2.194546583	0.252475287
23_01:486592	6.810984419	107.241115	92.52281683	78.38826117	119.4320944	119.4888077	5.066492738	211.3617497	1.398799306	3.070858496	NA	NA	NA
23_03:486593	3.694281375	91.86040373	89.34694418	74.32987685	125.7253898	132.6506472	8.248614074	372.5103695	1.402076903	5.96307434	19.65752634	2.148891485	0.401546647
24_02a:486594	3.255329787	NA	86.95830188	79.55064975	125.205609	132.5730667	5.028130081	291.2600058	1.388491433	4.405868347	9.434081165	2.279427073	0.195205759
24_04:486595	7.876771475	93.94828539	NA	83.5723963	131.6944146	135.8900077	4.162599326	197.7281955	1.300697092	2.670889439	NA	NA	NA
24_05:486596	7.836575858	NA	90.38466039	80.46795206	131.5824669	135.9899295	6.36388935	183.7560937	1.413402147	2.472037849	3.260794899	2.051790142	0.082758051
25_01a:486597	8.651571083	95.53079054	91.03243908	79.04865203	80.47123406	85.3740524	3.979672974	221.425398	1.371844548	3.064747322	19.09389628	2.067502625	0.328215363
