<Trait>,15NT1,15NT2,15NT3,AR,DPS,DT,GDM,GTNP,GTN,PDM,PTNP,PTN,SC
10_01:486532,92.09946449,83.02599934,77.16245133,3.646778502,82.99111379,73.43519482,24.46095479,2.154602412,0.499049165,216.9698981,1.243377025,2.716438909,12.07449335
10_02:486533,89.98400168,84.77788323,77.83254185,3.70049918,88.2089617,81.94554852,24.92504749,2.049544657,0.469051716,202.6391745,1.185207471,2.287618973,4.749127442
10_03a:486534,96.90826343,88.19587464,79.29673336,3.445569476,86.17260371,81.82509286,16.46268436,2.199911894,0.342388695,237.1265708,1.219276351,2.815058223,11.01836262
10_05:486536,100.8585745,88.27608061,80.07686921,2.282043407,82.43342925,79.94088012,13.92294038,2.077128543,0.282344122,198.9000236,1.168664219,2.211143525,7.892000883
11_01:486537,NA,NA,78.9462127,3.766965137,85.33726006,81.05890424,26.43408783,2.089577291,0.525390041,208.0582603,1.149191283,2.390937515,4.550047031
11_02:486538,NA,90.30168984,80.46518859,2.439138333,88.78255841,83.39804473,23.51946719,2.122667059,0.475774668,240.6843494,1.137165793,2.526175714,11.35381813
11_03a:486539,NA,NA,NA,3.626465379,84.69658455,85.10226332,NA,NA,NA,200.0360164,1.263974132,2.444883261,3.930669254
11_04:486540,97.46108098,89.98836417,79.51344572,4.356938485,80.84844478,81.04450514,14.04573957,2.116037919,0.284083368,193.149172,1.2955281,2.504533148,13.14846304
11_05:486541,96.78157772,90.73667956,80.90419724,1.852502796,85.32619109,85.83231327,13.41564533,2.347946201,0.293804827,201.482554,1.136774106,2.052938822,12.75513762
11_06:486542,NA,89.45118686,77.74275435,4.102703613,102.6228584,96.10328587,8.094825566,2.430972302,0.168546082,251.4960163,1.206856304,2.955172282,4.500458515
12_01:486543,94.0996852,84.81539151,76.13149363,3.346238612,81.2152241,80.62154023,21.73407647,2.113804489,0.427916893,223.462879,1.162513788,2.567926767,12.98343384
12_04:486544,95.81174794,88.08456916,78.38637936,4.8450476,85.94833375,82.95030543,15.02406528,2.145622686,0.315831475,202.0301041,1.167041769,2.157848838,13.35945275
12_05:486545,98.72692117,88.67924175,79.15453797,2.444194128,82.88546313,81.9741824,23.73600386,2.065037025,0.464027182,205.4536097,1.110728937,2.123383241,13.08084887
12_06:486546,104.7119255,91.77417866,78.62264807,3.811987059,103.7629565,98.94200458,10.06939584,2.252034451,0.212861419,201.6006675,1.260601825,2.51648252,2.10450181
13_01:486547,102.5152907,91.04929978,78.04982459,2.413910148,103.4913429,95.8062718,14.16321372,2.187068447,0.298556678,200.8023477,1.218586754,2.388398692,6.512915414
13_03:486549,96.95747242,91.835199,79.12113161,3.228175197,83.26669583,77.17850692,23.79185462,1.939430287,0.427257098,218.2034649,1.182848372,2.354985776,11.71394023
13_04:486550,100.6701143,91.86332148,80.28940216,2.080221492,88.32096405,82.98704982,13.0947132,2.155126593,0.287491688,202.2847569,1.176521096,2.170886052,13.08003302
13_05:486551,106.7542701,94.54680078,84.80759136,3.988386599,82.84831451,80.54444306,50.91101832,1.956529702,0.875337286,188.9969853,1.164965439,1.967732517,10.97383869
13_06:486552,108.9532566,95.86263746,81.57772951,3.426679184,83.31112141,81.14350881,30.85068567,2.141359805,0.614096612,185.590828,1.057345297,1.657660992,13.53257541
14_01:486553,92.48260761,83.90256999,75.94427889,1.347091464,88.60050286,82.74818708,12.11986413,2.155939966,0.252112556,208.0955046,1.181434183,2.40119288,11.71615907
14_02:486554,99.4545923,93.54903994,82.41160192,3.314186278,103.0000765,95.88528244,NA,NA,NA,171.7780502,1.195426955,1.939367362,7.77281435
14_03:486555,104.9023838,94.7943391,80.14118831,3.136816802,92.90831145,92.40006467,12.00305241,2.083012118,0.243181334,178.4417468,1.248605928,2.146253952,6.016615106
14_04:486556,97.30759228,90.86480008,79.64626368,2.826362081,89.05867573,86.67444895,19.34703228,2.205868277,0.4083418,221.3945844,1.314119815,3.026823626,6.583782173
14_06:486558,95.24198042,87.74700004,79.9698969,2.911929739,89.36971833,86.37112636,24.62998197,2.135195979,0.49757666,202.9806313,1.140107777,2.110204149,12.99145111
15_01a:486559,103.0826789,94.81795112,79.86855605,3.399555511,84.49538427,85.16481086,NA,NA,NA,187.5924846,1.2238957,2.271626662,8.549849518
15_03:486560,94.471562,86.87434551,79.49252294,4.224895355,82.84245352,80.10030831,12.54067123,2.132746035,0.256972071,241.7353927,1.182402026,2.778424656,8.330766758
15_04:486561,97.12997444,85.85856688,78.76822876,2.66005075,80.51658385,77.77328398,17.75047141,2.233536083,0.379213144,199.3073191,1.177263966,2.234559574,11.71638953
15_05:486562,96.03469038,88.2637953,78.87957748,4.057962573,91.95243408,88.81349634,15.50244671,2.113324934,0.308748583,206.9752504,1.132392069,2.21242266,5.830887931
15_06:486563,101.2408556,90.8167209,81.58639199,3.364996746,80.51658385,81.0220345,15.48540524,2.079717669,0.309092765,198.2148937,1.200671913,2.259761079,12.15453895
16_02:486564,101.0102248,90.91050817,79.64114289,3.492177546,92.78644601,93.05550484,26.6543974,2.160460536,0.547958646,241.0114972,1.216635495,2.740175422,11.84374275
16_03a:486565,94.73558899,84.40914111,77.4639215,4.459568688,88.58002256,79.89995762,7.261811602,2.224840037,0.169254548,189.3545506,1.259292782,2.258141917,7.441035076
16_04:486566,102.4534427,89.83148936,NA,5.279596112,92.0167667,84.78338742,NA,NA,NA,197.6788291,1.344703251,2.673855923,9.175597572
16_05:486567,101.6842168,93.86168279,80.44958507,2.229612389,80.38115679,76.41457727,8.416439071,2.095768566,0.175668899,203.8765731,1.197624409,2.292746438,9.389145854
17_01:486568,105.2096924,90.52330113,80.18168565,3.101444574,85.51105254,83.13846053,22.58602481,2.169796974,0.447566962,219.4866285,1.133926389,2.391106556,13.02729208
17_02:486569,NA,89.78638965,NA,1.746006016,85.1180954,85.39274454,12.22882367,2.087790729,0.252959344,247.543639,1.317276453,3.562776628,3.225534356
17_05a:486570,99.6857417,91.34050963,79.20781021,1.386466361,84.79539591,80.83180385,21.71142237,2.065144742,0.435527216,168.6665971,1.104172058,1.807838236,9.215757574
18_01:486571,100.2961509,95.60129325,81.49267268,2.422974357,88.26082749,82.30213492,20.12838552,2.083719511,0.395049505,209.7490811,1.134794628,2.161327288,10.90392487
18_02a:486572,94.23945934,87.15257716,78.30518423,2.301373208,85.21966207,85.57751546,15.95064945,2.14652445,0.329023123,209.2699877,1.070687129,2.063526837,13.08939517
18_03a:486573,96.7451341,90.83230577,78.90925205,3.513958563,80.60454024,80.79159016,19.81953228,2.204272009,0.420756158,189.7241557,1.127584802,1.952176105,11.52972994
18_04:486574,99.4687019,93.81133871,79.03039062,3.981142363,85.6589519,83.28606839,12.91867574,2.28650606,0.288084786,174.4031284,1.345889955,2.30360563,6.006749895
18_05:486575,93.52535649,85.86586555,79.71057855,2.997004079,85.6092678,81.04230484,23.40397398,2.069546002,0.458489606,226.1869721,1.10337464,2.197780385,14.0773767
19_05:486576,107.4975566,96.12075111,79.89985205,6.400850917,139.7175566,139.2777821,7.0425719,2.344762158,0.15715098,221.8025488,1.271722829,2.894220933,7.018522729
19_06:486577,NA,NA,77.54187543,6.42704186,139.9429226,136.2785451,NA,NA,NA,189.512324,1.352183348,2.505746907,2.329792408
20_01:486578,105.6722543,92.78267031,81.56308198,2.846183199,133.2380551,132.6029244,9.740956044,2.107168175,0.209637185,163.3182422,1.259868606,1.905582251,7.78263635
20_02a:486579,90.71079378,87.87042315,79.49957787,7.822901418,141.8259366,141.5970178,NA,NA,NA,223.1886597,1.296271757,3.13558645,2.175036298
20_03:486580,102.9892076,89.47611539,75.38121172,9.146619022,138.8458959,129.6072618,13.57272859,2.091938738,0.278774066,223.6944422,1.453317028,3.560943781,2.588622526
20_04:486581,107.1539898,90.69201035,78.67745565,6.64505152,122.6392231,118.9206458,11.54242143,2.19514581,0.24090721,207.3819638,1.386774562,2.974756695,6.030038696
20_06:486582,102.2963605,99.532708,81.66991655,9.372438114,139.1300223,135.7572946,5.796462835,2.440701706,0.131869258,208.9845378,1.361698489,2.928978008,6.866181841
21_02a:486583,NA,NA,82.72523292,3.14709379,135.8911418,135.5116937,NA,NA,NA,190.9856706,1.305145565,2.445188221,2.187101776
