<Trait>	15NT1	15NT2	15NT3	AR	DPS	DT	GDM	GTNP	GTN	PDM	PTNP	PTN	SC
10_01:486532	93.47300251	83.02599715	77.16245489	4.429453648	96.12445518	88.04026704	18.70483897	2.2016023	0.384830926	220.9875844	1.311255071	3.022273948	10.91863255
10_02:486533	91.46636158	84.77788147	77.83254441	4.485300596	100.3540866	95.04829495	19.36290131	2.110199342	0.361982814	206.7875386	1.271784389	2.651906019	3.886711684
10_03a:486534	98.26073405	88.19587398	79.29673363	4.271845247	98.66039657	95.08445337	12.86520333	2.252198558	0.272551124	240.8519634	1.293610463	3.112852115	9.946591836
10_05:486536	101.9675487	88.27607998	80.07686813	3.298434967	95.85912563	93.31814057	9.481028868	2.144889581	0.19831682	203.0108608	1.259102145	2.583735833	6.912694415
11_01:486537	NA	NA	78.94621349	4.529319983	97.96151618	93.53549377	20.60947039	2.149286184	0.411023335	212.0677306	1.242009525	2.73596148	3.710839518
11_02:486538	NA	90.3016901	80.46518665	3.422663482	100.6651876	95.39004203	19.08358428	2.175469371	0.386364842	244.8496023	1.24650303	2.904132631	10.22626159
11_03a:486539	NA	NA	NA	4.35869001	97.79916493	96.49851427	NA	NA	NA	203.3445131	1.321924241	2.74733526	3.283300902
11_04:486540	98.83466669	89.98836437	79.51344541	4.915211519	94.24792983	93.47392668	10.15809269	2.170404697	0.209611912	197.1812905	1.354266709	2.841313888	11.96014328
11_05:486541	98.15617297	90.73667979	80.90419463	2.913545126	97.86720066	97.08211227	8.918695881	2.393637668	0.206619621	205.5352774	1.2356089	2.441831925	11.58676219
11_06:486542	NA	89.45118672	77.7427572	4.832230537	111.5929733	105.0766772	4.306868128	2.468788235	0.099673917	255.4639598	1.28926678	3.264798206	3.661848391
12_01:486543	95.39420568	84.81538988	76.13149898	4.163695209	94.42293276	93.43208084	16.84163823	2.178648142	0.334276082	227.4097115	1.252939261	2.902635886	11.78283822
12_04:486544	97.20121594	88.08456852	78.38638094	5.450421803	98.07342278	95.21787232	11.53638403	2.205591537	0.24738062	205.9972718	1.256793987	2.533914902	12.14529511
12_05:486545	99.88340807	88.67924141	79.15453835	3.413277106	95.96771203	95.03162461	18.93663637	2.130860985	0.370936801	209.6166171	1.215312157	2.50126283	11.89933927
12_06:486546	105.0763239	91.77417938	78.62264934	4.515424533	111.8824636	107.4718602	6.593234516	2.29295393	0.148892429	205.0020394	1.321483857	2.812993059	1.338248989
13_01:486547	103.1236802	91.0493004	78.04982669	3.393616723	111.8620473	105.0174314	10.06196329	2.235497549	0.220086625	204.8141188	1.294810471	2.744892168	5.581423576
13_03:486549	98.23536468	91.83519948	79.12113212	4.071850325	96.18347438	90.91118123	20.12540649	2.011124876	0.357190738	222.0208161	1.266673685	2.721658804	10.58422224
13_04:486550	101.3631857	91.86332221	80.28940061	3.12707278	100.5068381	95.37617666	10.29771385	2.213383227	0.228657913	206.3317051	1.265362908	2.555340273	11.88275552
13_05:486551	107.3078656	94.54680248	84.80758263	4.749487598	96.01198875	93.43373144	43.44154182	2.031972349	0.735279325	193.1091444	1.256459616	2.369202811	9.869983135
13_06:486552	109.0365729	95.86263932	81.57772607	4.260969405	96.17372593	93.53662488	25.47813392	2.201207486	0.503948165	189.6273002	1.17435822	2.095737272	12.31590909
14_01:486553	93.72832598	83.90256815	75.94428445	2.492414339	100.398243	95.12756335	7.838029099	2.21753665	0.171418227	212.2074062	1.266366429	2.760566386	10.58375651
14_02:486554	100.2238632	93.54904103	82.4115971	4.158559149	111.6550842	105.0056641	NA	NA	NA	176.014991	1.279448295	2.334362792	6.790611079
14_03:486555	105.2060271	94.79434076	80.14118703	4.000626483	103.4946382	102.3641019	8.27518261	2.144318919	0.173062956	182.5456016	1.317071601	2.508990351	5.106573649
14_04:486556	98.59025171	90.86480028	79.6462633	3.74140838	100.6558463	97.90502081	14.19575745	2.257754282	0.306685292	225.3022699	1.369038619	3.315508633	5.650978908
14_06:486558	96.32376674	87.74699932	79.96989595	3.828364256	100.6942521	97.18069618	18.82346762	2.185600236	0.383009193	206.9230321	1.236620886	2.494952761	11.79297965
15_01a:486559	103.840499	94.81795284	79.86855538	4.178457696	97.61975897	96.45056675	NA	NA	NA	190.9720145	1.293177601	2.598389317	7.59189107
15_03:486560	95.49897588	86.8743446	79.49252282	4.90872395	95.80998208	93.17727429	8.326971658	2.201507157	0.178193138	245.6852513	1.266776686	3.087192502	7.344965829
15_04:486561	98.02691081	85.85856557	78.76822972	3.580642449	94.10929014	90.97481163	12.90109559	2.289537448	0.283839448	203.4320609	1.265333049	2.599542797	10.58193629
15_05:486562	97.38259469	88.26379453	78.87957837	4.771070061	103.1014612	99.64205795	10.82107861	2.174956448	0.22020743	210.9965018	1.230503794	2.58148872	4.939146867
15_06:486563	101.805489	90.81672115	81.58638847	4.177737263	94.11005356	93.49760452	10.88643519	2.149197143	0.222467812	202.3433967	1.28144745	2.623566324	11.00339689
16_02:486564	101.6760154	90.91050848	79.64114253	4.306144412	103.6332741	102.6202295	20.53877306	2.207944384	0.424865709	244.994761	1.295948366	3.0746981	10.70451005
16_03a:486565	96.10159287	84.40913906	77.46392479	5.095858134	100.5080288	93.32695239	4.873526304	2.272387407	0.121245126	193.4581258	1.323026206	2.608707422	6.492139095
16_04:486566	103.0998214	89.83148935	NA	5.79631502	103.230765	97.04728278	NA	NA	NA	201.7400669	1.390395084	2.992378253	8.140784241
16_05:486567	102.5601502	93.86168399	80.4495835	3.228694328	94.13659917	90.78458187	6.565829392	2.147461722	0.14423864	207.8705686	1.280457525	2.66362111	8.390336808
17_01:486568	105.5973304	90.52330132	80.18168432	3.995615149	98.03854913	95.28128578	18.08997302	2.225496573	0.358393971	223.3705446	1.226618583	2.739256243	11.84352404
17_02:486569	NA	89.78638944	NA	2.960403394	98.06875631	96.65442044	8.653725102	2.142641369	0.182857698	250.7175703	1.362442808	3.740419876	2.45848645
17_05a:486570	100.239672	91.34051016	79.20781043	2.547452615	97.87184964	93.60051123	16.935402	2.133123177	0.340563369	172.9674078	1.209855182	2.20843612	8.180731058
18_01:486571	101.2870606	95.60129517	81.49266925	3.400068978	100.4090203	95.10972429	15.6534714	2.137618715	0.30932937	213.8679028	1.232360869	2.536314465	9.810706
18_02a:486572	95.69438103	87.15257614	78.30518608	3.356631094	98.02885156	96.66852121	12.04700485	2.196411694	0.250786589	212.6191157	1.188400155	2.427577737	11.81142215
18_03a:486573	97.95717861	90.83230617	78.90925285	4.2804568	95.02587986	93.76871052	15.32514414	2.247484032	0.32699687	193.1672068	1.226134874	2.3232108	10.35444064
18_04:486574	100.216198	93.81133988	79.03039124	4.723137511	98.04905349	95.37480799	9.131654014	2.319541667	0.211657364	178.5414249	1.393857007	2.664836587	5.077169078
18_05:486575	95.08355465	85.86586442	79.71057799	3.881963602	98.1056627	93.62029683	18.11334666	2.130285804	0.355300836	230.1949304	1.21049622	2.582867161	12.85929967
19_05:486576	106.5527837	96.12075293	79.89985121	4.02871614	103.0661755	101.8720083	11.24853017	2.314584799	0.234521612	219.3133482	1.225042475	2.503212522	10.2986961
19_06:486577	NA	NA	77.54187879	4.000186034	103.0411888	99.31517048	NA	NA	NA	187.0340221	1.27979494	2.142452381	5.830376614
20_01:486578	105.0460177	92.78267139	81.56307863	1.669380792	98.7422751	96.92750266	11.86210143	2.111844436	0.246534679	162.5134115	1.251037164	1.789087683	10.99769401
20_02a:486579	92.07334378	87.87042228	79.49957779	5.453537	105.7209225	104.0599097	NA	NA	NA	222.2273698	1.281507008	2.876445112	5.632258468
20_03:486580	103.0904067	89.47611529	75.38121833	6.331484746	102.6966686	94.50063936	14.80368146	2.098858782	0.298580077	221.3979946	1.358566877	3.106903881	6.008987071
20_04:486581	106.4271291	90.69201074	78.67745692	4.256986778	89.82672712	86.50474074	13.01276414	2.192856058	0.263793097	205.3169634	1.315379181	2.60682042	9.311851594
20_06:486582	102.6785821	99.532711	81.66991297	6.517962027	102.8856781	99.30230568	10.40027982	2.403569964	0.217481129	206.6642136	1.292246359	2.544535115	10.11737014
21_02a:486583	NA	NA	82.72522709	1.948880967	101.660621	100.0673276	NA	NA	NA	190.4296802	1.292704727	2.284690214	5.646412728
21_04:486584	NA	NA	80.01974379	3.802097594	97.45742369	96.0518887	NA	NA	NA	226.2708907	1.28514916	2.951691519	6.534065934
21_05:486585	98.58749771	92.0123666	81.86377906	4.731488515	105.8649902	100.0755793	12.9023214	2.325116436	0.258699287	185.4519541	1.28389047	2.145733764	12.25361061
22_01:486587	88.03968866	90.58940054	78.55672867	1.576595612	103.2229122	99.39519934	NA	NA	NA	169.3626172	1.358324817	2.075031307	8.549326488
22_02:486588	110.7080108	92.97718041	79.77898907	4.923579709	97.834101	94.28202203	12.41273769	2.265100351	0.259849585	232.5307662	1.246546175	2.594189485	8.504322451
22_04:486590	102.906808	90.29626023	80.21952722	5.639013917	97.73758599	92.21091788	NA	NA	NA	240.8284479	1.278412338	3.192380276	7.407687786
22_06:486591	101.3576363	94.47609828	79.5768425	3.290995842	95.19019603	91.69205794	13.19397057	2.19428915	0.280487364	246.8199823	1.247195425	2.962381076	11.43219924
23_01:486592	107.2613572	92.90859242	78.73543413	3.141518459	87.33761752	86.64297061	NA	NA	NA	206.6940302	1.288854738	2.645157088	10.15722366
23_03:486593	91.97490615	89.45052873	76.11246506	6.359394701	97.8421899	91.70515391	19.23584155	2.156571631	0.390616907	376.6560613	1.287457546	5.513054822	7.206999439
24_02a:486594	NA	86.80429438	79.44094817	3.173410145	97.79859951	91.91636576	11.02125034	2.261321595	0.235556359	295.0292066	1.295273022	4.089997595	6.777868021
24_04:486595	93.70488198	NA	82.42083886	2.278536149	100.3191304	96.70076312	NA	NA	NA	197.3640654	1.275090581	2.562705895	11.12864582
24_05:486596	NA	90.20933454	80.09109747	4.492275462	100.5056949	96.70236958	12.05561308	2.059277607	0.245600838	179.8405822	1.304165893	2.142155975	11.02242286
