"","value"
"B 01",3.12951879856345
"B 03",3.42876751105793
"B 04",3.24341083561466
"B 05",3.42761657051796
"B 06",2.45036730668464
"B 07",2.84476551107352
"B 08",2.58132461207058
"B 10",4.12891321268566
"B 11",2.69728719134375
"B 12",2.63680727687498
"B 13",3.58119317772684
"B 14",3.40243647610009
"B 15",2.27010617604387
"B 16",1.51661859344186
"B 17",2.58413414447409
"B 18",3.12402509415508
"B 19",3.71027432431626
"B 20",4.95314580833226
"B 21",3.84316558092436
"B 22",1.96115229667034
"B 23",3.93716753383508
"B 24",2.19644851175607
"B 25",2.70253177473941
"B 26",2.93001751340239
"B 27",4.12373425452944
"B 28",2.02722814943539
"B 29",3.34675516404739
"B 30",2.93042563824609
"B 31",2.32769231174173
"B 32",3.41590562767022
"B 33",3.29514321505625
"B 34",2.42349070088712
"B 35",3.89654224252172
"B 36",4.03703967917076
"B 37",2.09566408743138
"B 38",4.17102735346232
"B 41",2.57357153590128
"B 43",4.6400944350823
"B 44",3.56217924273723
"B 45",4.20921889983332
"B 46",3.72263699656561
"B 47",3.02909643012429
"B 49",3.43285942407802
"B 50",3.19537162068143
"B 51",3.02589135425582
"B 52",3.54899610445532
"B 53",3.46666365474305
"B 54",3.67968789577395
"B 55",3.84019371473011
"B 56",4.24761376610483
"B 57",2.15933008149562
"B 58",4.00790522940365
"B 59",4.26839227157716
"B 60",5.90173215503331
"B 61",1.95882463462257
"B 62",3.49143355972424
"B 63",2.30966316436997
"B 64",3.28263579463503
"B 65",3.44280472163897
"B 66",1.97124114558362
"B 67",1.5087424949885
"B 68",2.48585936617935
"B 69",2.96843961986078
"B 70",4.25352322379303
"B 71",3.07011085465817
"B 72",2.56604744192525
"B 74",2.50387391400223
"B 75",3.08435808281009
"B 76",4.1715134582756
"B 77",3.64047096138861
"B 78",2.67631423556514
"B 79",4.61972870204459
"B 80",2.87702797732398
"B 82",3.80338504764536
"B 84",3.19173439525786
"B 85",2.59956197090521
"B 86",2.13720104419488
"B73",0.957263783857482
"C 01",8.52409004545706
"C 02",6.53347704225606
"C 03",4.23916557094872
"C 04",3.72530731265191
"C 05",5.25736375864357
"C 06",5.11312882507127
"C 08",5.15523987190737
"C 10",7.0802445681083
"C 13",5.97503375491968
"C 16",5.78934005402685
"C 18",7.03017981092447
"C 19",6.23299317340766
"C 21",8.4468012743755
"C 23",3.19485430048269
"C 24",5.35997430144532
"C 25",3.47024492930995
"C 26",7.25054484882292
"C 28",8.89220055626456
"C 29",8.64005866561422
"C 30",6.0894056337438
"C 33",2.85005680589767
"C 34",5.18908356915768
"C 35",6.13837617949872
"D 01",3.67554568869261
"D 02",1.73303758567336
"D 03",3.35727131755641
"D 04",4.00940527311857
"D 05",3.32413293607493
"D 06",3.61251004765771
"D 07",2.60692933614001
"D 08",1.04178195175183
"D 09",2.68549689680912
"D 10",2.48157772715992
"D 100",1.96342224274579
"D 101",3.16010412289036
"D 102",2.91552654103595
"D 103",3.36345737871981
"D 104",1.7737547730623
"D 105",2.95821896834272
"D 106",3.5729057219204
"D 107",3.09443279518224
"D 108",2.85559936407436
"D 109",2.84899729248574
"D 11",3.0264727557546
"D 110",3.27279850835086
"D 111",1.98316781968444
"D 112",2.31849061833764
"D 113",1.28403424479976
"D 114",3.62971078899287
"D 115",4.04713247639921
"D 116",4.46136695748502
"D 117",3.66219513713043
"D 118",2.37994523190373
"D 119",3.67692581244861
"D 12",3.84080120445433
"D 13",3.31892273010711
"D 14",2.2228162336548
"D 15",3.04473666174043
"D 16",2.66136259242314
"D 17",2.62048520050775
"D 18",1.97775430320586
"D 19",2.83337222680802
"D 20",2.22642182277854
"D 21",2.53386696148422
"D 22",3.89171052412009
"D 23",2.82905666900777
"D 24",2.64216560689107
"D 26",3.57385375221501
"D 27",1.03999083171075
"D 28",2.03915396990559
"D 29",2.30158467293999
"D 30",3.50416931257981
"D 31",1.89399224307451
"D 32",1.60832462119619
"D 33",1.49023274729369
"D 34",2.74698774208581
"D 35",3.01760228829221
"D 36",1.57274258353555
"D 37",2.35083431786173
"D 38",2.26179020636277
"D 39",1.68448825731501
"D 40",3.29801991544647
"D 41",6.16216452320393
"D 42",2.12805363585236
"D 43",1.75414155936063
"D 44",3.03879826104601
"D 45",2.03854516793595
"D 47",3.37987489000772
"D 48",3.56700430395462
"D 49",3.60217246355346
"D 50",2.86744691698299
"D 51",2.45233283788382
"D 52",3.45375919670854
"D 53",4.84224831096765
"D 54",2.54088116516952
"D 55",3.86624480799151
"D 56",2.25524674603389
"D 57",3.4482935665353
"D 58",3.34107585682991
"D 59",3.52978890743668
"D 60",3.52883721158489
"D 61",3.14875632655225
"D 62",4.40699752191939
"D 63",2.21077551261658
"D 64",4.19794471445019
"D 65",2.18632933361163
"D 66",2.54278458437694
"D 67",2.02849697490155
"D 68",2.25453393425982
"D 69",2.96523679998102
"D 70",3.11754401723019
"D 71",1.9060739110604
"D 72",3.8112294948835
"D 73",3.83826083387344
"D 74",1.9983120256531
"D 75",3.30843662993846
"D 76",2.3677146798684
"D 77",1.15728256649271
"D 78",3.0035674317089
"D 79",2.71410868231127
"D 80",1.86474723847116
"D 81",2.18931308795734
"D 82",2.51279537289213
"D 83",1.92821574780586
"D 84",2.04972023094527
"D 85",2.73343102383039
"D 86",3.38982991949465
"D 87",5.29582192329728
"D 88",4.25305635998892
"D 89",2.31504370822455
"D 90",2.06677100387782
