"","value"
"B 01",73.906276495862
"B 03",92.7080044259342
"B 04",96.5713833153289
"B 05",80.4977338600598
"B 06",85.4249408576432
"B 07",96.9451455702197
"B 08",82.150500071352
"B 10",80.0324351325599
"B 11",89.4244595114613
"B 12",86.3487214040618
"B 13",83.1650981983516
"B 14",83.3975510865539
"B 15",92.0508212392364
"B 16",83.3314152098235
"B 17",82.4676783488095
"B 18",92.2934032439947
"B 19",99.4001884173604
"B 20",84.4245981379139
"B 21",80.9107829755463
"B 22",85.3560079227229
"B 23",80.0927978725363
"B 24",80.2730734288609
"B 25",80.879364450409
"B 26",96.3956414275294
"B 27",96.6607994419167
"B 28",80.5523121448852
"B 29",84.64261108032
"B 30",80.0009207127437
"B 31",76.2176567725974
"B 32",84.887205091285
"B 33",80.8097576105416
"B 34",80.1880552500184
"B 35",83.4043080119137
"B 36",80.2904869810151
"B 37",73.5159964923014
"B 38",85.3149449273215
"B 41",83.8915246589149
"B 43",92.2051655086594
"B 44",82.54161519222
"B 45",79.8249792722525
"B 46",80.5802379877562
"B 47",83.2392519137216
"B 49",81.0712765720135
"B 50",81.2419357758967
"B 51",80.7667046716319
"B 52",82.8290938514222
"B 53",80.9447814307538
"B 54",85.7765290845358
"B 55",83.2054451965216
"B 56",80.8489406103764
"B 57",82.8622706035853
"B 58",88.4920509585302
"B 59",81.3328903665478
"B 60",84.8804093502067
"B 61",76.5815714487682
"B 62",73.4170546222847
"B 63",76.6003148381422
"B 64",80.7059516745483
"B 65",82.1240232820996
"B 66",83.1964986662476
"B 67",80.8412115917681
"B 68",77.3010248907666
"B 69",86.2637348037219
"B 70",76.5691949286707
"B 71",88.6966462658646
"B 72",83.3443474238362
"B 74",95.6254126949789
"B 75",82.9233948159073
"B 76",85.2184039998125
"B 77",84.556535707582
"B 78",77.5416095760233
"B 79",83.0023251241424
"B 80",86.2633887318268
"B 82",81.4026083165186
"B 84",77.3132544042826
"B 85",82.9755235604096
"B 86",86.1997353020482
"B73",66.2727405748506
"C 01",125.960972703671
"C 02",131.869477128202
"C 03",132.043465275751
"C 04",124.369145880313
"C 05",125.935710353509
"C 06",125.370936440608
"C 08",129.532948915693
"C 10",129.697918137894
"C 13",136.160327410123
"C 16",124.819251836298
"C 18",141.655393084387
"C 19",119.082142027382
"C 21",129.504722445272
"C 23",136.300674719943
"C 24",119.076787930108
"C 25",136.605301765894
"C 26",123.039156988301
"C 28",131.267986275905
"C 29",136.007391123628
"C 30",139.258289182005
"C 33",132.713419325298
"C 34",119.699807709569
"C 35",135.899677185401
"D 01",79.2226696124684
"D 02",76.7982447449826
"D 03",77.8954638266477
"D 04",84.6183962198906
"D 05",83.7207027465619
"D 06",77.2790491295887
"D 07",85.3597959090786
"D 08",72.9225760001804
"D 09",80.3066130473568
"D 10",84.9045340560241
"D 100",79.4631816422274
"D 101",81.5072555206301
"D 102",82.6637467480945
"D 103",80.7099681601744
"D 104",78.8068472394435
"D 105",98.9503468085848
"D 106",76.7476757975859
"D 107",82.4967247835262
"D 108",85.5329668702933
"D 109",79.3713810829653
"D 11",80.9207578779251
"D 110",76.0222641771706
"D 111",79.6733853563773
"D 112",79.9694462829043
"D 113",76.2697615540878
"D 114",77.2780197455486
"D 115",80.4981363169138
"D 116",82.0209467267025
"D 117",80.3934145336848
"D 118",88.6318184515509
"D 119",82.6135229345169
"D 12",88.073186051253
"D 13",88.808317944365
"D 14",78.6195638540522
"D 15",80.5857612457388
"D 16",79.7926927206969
"D 17",80.0633184414615
"D 18",83.0036156179096
"D 19",82.5218466510076
"D 20",80.1589369452823
"D 21",82.1330327113605
"D 22",77.0636498903526
"D 23",69.9847556973789
"D 24",79.5201413483772
"D 26",83.3459131949815
"D 27",80.4266246179023
"D 28",76.3153403674944
"D 29",92.607232445563
"D 30",91.6139546593672
"D 31",84.6573988904607
"D 32",84.5613408299592
"D 33",73.3686316917905
"D 34",88.046609400835
"D 35",79.6519871488466
"D 36",85.0783698636687
"D 37",84.9052454217895
"D 38",79.300402602765
"D 39",77.2115070010245
"D 40",90.0841124370435
"D 41",90.2637091633943
"D 42",80.6668485487054
"D 43",85.7075792736266
"D 44",76.7587181578184
"D 45",84.2405146093831
"D 47",85.8076926635826
"D 48",88.2366188946189
"D 49",83.3097457020705
"D 50",86.6682439576427
"D 51",79.8736494987752
"D 52",95.5352981148185
"D 53",83.0625688931903
"D 54",82.6462930164552
"D 55",81.1761676683184
"D 56",76.156425729877
"D 57",82.2638187012713
"D 58",80.6287207930192
"D 59",83.1384158373276
"D 60",94.8213789414445
"D 61",80.4961057295011
"D 62",89.2435083680221
"D 63",80.713491449732
"D 64",96.17560498911
"D 65",76.3488642701917
"D 66",76.6806520988828
"D 67",84.3653774628041
"D 68",76.9947403172576
"D 69",85.4880210235075
"D 70",82.353722057053
"D 71",82.4716255149946
"D 72",81.0650312290093
"D 73",81.1465792245075
"D 74",84.6859322423597
"D 75",80.3628249481628
"D 76",80.4246329361982
"D 77",85.4592600720212
"D 78",76.814984455622
"D 79",85.7674449189611
"D 80",80.3655151326108
"D 81",88.1123282939158
"D 82",86.1470035497444
"D 83",76.8150528389331
"D 84",81.2742362033746
"D 85",80.4615279892311
"D 86",82.4700746589122
"D 87",98.3345958705057
"D 88",79.8841566970822
"D 89",83.0170595311686
"D 90",83.0166323034278
"D 91",92.072102797103
"D 92",89.7102521580788
"D 93",83.0411076961557
"D 94",83.109459337473
"D 95",85.8143198173349
"D 96",85.2798106463812
"D 97",85.8423455269606
"D 98",88.4034137446488
"D 99",79.4773127437921
"F 01",80.5338123139799
"F 02",84.5067061476334
"F 03",79.5583648713875
"F 04",74.0027068607374
"F 05",85.3485441179222
"F 06",82.6478560924552
"F 07",81.0122269860458
"F 08",80.7452087383497
"F 09",100.0007069497
"F 10",80.5165606746712
"F 11",79.9814711494049
"F 12",88.7695845742204
"F 13",76.9153263045219
"F 14",86.4144572869207
"F 15",74.285855632064
"F 16",74.5948978143669
"F 17",91.8871998265079
"F 18",85.1311492956787
"F 19",96.092746380581
"F 20",85.4704109813394
"F 21",85.9393675218381
"F 22",80.2061061958713
"F 23",79.6396488056836
"F 24",84.3445416346471
"F 25",82.7988422209555
"F 26",80.6287621937772
"F 27",91.9418768822131
"F 28",81.9342453088178
"F 29",82.1035631297876
"F 30",79.6456154596509
"F 31",84.8314108691746
"F 32",77.2588326160607
"F 33",80.6434320029433
"F 34",88.4206059541149
"F 35",80.8194724019438
"F 36",87.6127656437863
"F 37",82.2228031499558
"F 38",98.5790226005368
"F 39",88.6269528359583
"F 40",85.0177433997268
"F 41",95.401200483846
"F 42",73.6537318629096
"F 43",80.269586070175
"F 44",92.7546098206882
"F 45",83.97963023437
"F 46",82.267306663623
"F 47",85.7127825018924
"F 48",88.6434739738972
"F 49",84.7495495734772
"F 50",77.0159062358469
"F 51",88.93016212731
"F 52",79.2424054441304
"F 53",95.3252811743902
"F 54",76.2935615415055
"F 55",80.3361832761642
"F 56",87.9114019023317
"F 57",82.2332645754939
"F 58",76.3779897098484
"F 59",76.7511641487639
"LH82",58.9472957747599
"Mo17",60.0078538935473
"Negative",57.9737700650077
"PH207",58.767195496213
"Positive",119.338981746907
"Totontepec",120.371243755753
