"","value"
"10_01:486532",12.0617369297967
"10_02:486533",4.67186384644427
"10_03a:486534",11.0574850958509
"10_05:486536",7.84453062445621
"11_01:486537",4.618112095763
"11_02:486538",11.4754129726044
"11_03a:486539",3.91571023769202
"11_04:486540",12.5848887375586
"11_05:486541",12.8036701850521
"11_06:486542",4.56836351006908
"12_01:486543",13.1297772592832
"12_04:486544",13.5541805954064
"12_05:486545",13.502148945504
"12_06:486546",2.99609311209937
"13_01:486547",6.53374776093187
"13_03:486549",11.7410808633992
"13_04:486550",13.066129519103
"13_05:486551",11.0428635020705
"13_06:486552",13.5739182738096
"14_01:486553",11.7760093563961
"14_02:486554",7.80917619080881
"14_03:486555",5.98895474912945
"14_04:486556",6.59394013746819
"14_05:486557",14.1687222243395
"14_06:486558",13.0553957417618
"15_01a:486559",8.61618677559508
"15_03:486560",8.38687897864999
"15_04:486561",11.7951395437319
"15_05:486562",5.88097968603949
"15_06:486563",12.2588298602314
"16_02:486564",12.0613133096432
"16_03a:486565",7.53461803043932
"16_04:486566",9.14957002182075
"16_05:486567",9.63801425528931
"17_01:486568",13.0605148724414
"17_02:486569",4.76090548093418
"17_05a:486570",9.2833830547004
"18_01:486571",11.0975179979856
"18_02a:486572",13.2060091331594
"18_03a:486573",11.5981180230481
"18_04:486574",5.95877504952033
"18_05:486575",14.2154594658228
"19_05:486576",6.91915743926114
"19_06:486577",2.28710716226221
"20_01:486578",10.109585864023
"20_02a:486579",3.63733038533847
"20_03:486580",2.4704597758766
"20_04:486581",6.03523228922009
"20_06:486582",6.87044932769521
"21_02a:486583",3.99077540356683
"21_04:486584",5.51420669937849
"21_05:486585",11.0909489297552
"22_01:486587",5.34375935853296
"22_02:486588",5.19332678255004
"22_03:486589",13.3653392100117
"22_04:486590",4.68863277053317
"22_06:486591",8.18406490589527
"23_01:486592",6.81098441919832
"23_03:486593",3.69428137503063
"24_02a:486594",3.25532978659795
"24_04:486595",7.87677147541505
"24_05:486596",7.83657585836563
"25_01a:486597",8.65157108293481
"25_02:486598",11.7928889875083
"25_03:486599",5.28685030351078
"25_04:486600",8.70036711723558
"25_06:486601",13.0459811623442
"26_01a:486602",7.83180137732274
"26_02:486603",12.6535245234343
"26_04:486604",5.85842298576044
"26_05:486605",13.3985373214623
"26_06:486606",11.6359085182978
"27_01:486607",12.8337118267567
"27_02:486608",10.5298985426293
"27_04:486609",9.10288321938912
"27_06:486610",11.678220435527
"28_01:486611",12.6930547483127
"28_02:486612",7.70411995054286
"28_03:486613",13.644201756223
"28_04:486614",11.2636350409611
"28_05:486615",12.6223135036116
"29_01:486616",11.6656681052321
"29_02a:486619",2.6022414516342
"29_03:486620",12.8404967425476
"29_04:486621",9.18110948816475
"29_05:486617",13.0908198632828
"29_06:486618",13.5514667930137
"30_01a:486622",9.09907066212511
"30_02a:486623",12.2032584350405
"30_03:486624",9.57251210741652
"30_05:486625",11.7887854678987
"30_06:486626",8.23306255705561
"31_01:486627",13.104986208636
"31_02:486628",13.0019951439711
"31_03:486629",13.4943680734274
"31_04:486630",13.0806024993227
"31_05:486631",14.297535639072
"31_06a:486632",9.61583246443796
"32_01:486633",12.1719047952611
"32_02:486634",13.8546145713406
"32_03a:486635",3.57029913853813
"32_04:486636",8.84502689251098
"33_01a:486637",4.72257518805559
"33_02:486638",9.27410037824241
"33_05:486639",13.7915603724987
