"","value"
"10_01:486532",77.1624548914593
"10_02:486533",77.832544407592
"10_03a:486534",79.2967336254431
"10_05:486536",80.0768681263802
"11_01:486537",78.9462134895715
"11_02:486538",80.4651866503277
"11_04:486540",79.513445410105
"11_05:486541",80.9041946302788
"11_06:486542",77.742757199735
"12_01:486543",76.1314989776929
"12_04:486544",78.3863809378937
"12_05:486545",79.1545383463031
"12_06:486546",78.6226493352918
"13_01:486547",78.0498266856165
"13_03:486549",79.1211321246227
"13_04:486550",80.2894006131551
"13_05:486551",84.8075826301941
"13_06:486552",81.577726070286
"14_01:486553",75.9442844486276
"14_02:486554",82.4115970973928
"14_03:486555",80.1411870334309
"14_04:486556",79.6462632998376
"14_06:486558",79.9698959468999
"15_01a:486559",79.8685553764974
"15_03:486560",79.4925228229076
"15_04:486561",78.7682297236964
"15_05:486562",78.8795783683571
"15_06:486563",81.5863884741286
"16_02:486564",79.6411425274846
"16_03a:486565",77.4639247929685
"16_05:486567",80.4495835032191
"17_01:486568",80.1816843221317
"17_05a:486570",79.2078104326709
"18_01:486571",81.4926692521996
"18_02a:486572",78.3051860819591
"18_03a:486573",78.9092528537605
"18_04:486574",79.030391240014
"18_05:486575",79.7105779897783
"19_05:486576",79.8998512078365
"19_06:486577",77.5418787871366
"20_01:486578",81.5630786318636
"20_02a:486579",79.4995777935668
"20_03:486580",75.3812183336905
"20_04:486581",78.6774569216271
"20_06:486582",81.6699129720138
"21_02a:486583",82.7252270902883
"21_04:486584",80.0197437880112
"21_05:486585",81.863779064764
"22_01:486587",78.5567286711065
"22_02:486588",79.7789890655628
"22_04:486590",80.2195272197427
"22_06:486591",79.5768425006959
"23_01:486592",78.7354341284401
"23_03:486593",76.1124650614201
"24_02a:486594",79.4409481688509
"24_04:486595",82.4208388574507
"24_05:486596",80.0910974681219
"25_01a:486597",79.1031207547562
"25_02:486598",78.1400617058295
"25_03:486599",77.8557089276984
"25_04:486600",78.5881457166491
"25_06:486601",79.0648102538293
"26_01a:486602",77.60222137969
"26_02:486603",79.2781713579216
"26_04:486604",80.7213660704044
"26_05:486605",78.4221493959299
"26_06:486606",79.7664151984079
"27_01:486607",82.9578919774337
"27_02:486608",76.4917824324374
"27_04:486609",79.1466850143181
"27_06:486610",80.1902068488665
"28_01:486611",79.9397802627391
"28_02:486612",76.7450733201283
"28_03:486613",79.173361598366
"28_04:486614",78.3413932118035
"28_05:486615",79.3555963240508
"29_01:486616",81.0462435979853
"29_02a:486619",80.0767341259163
"29_03:486620",77.1134525093068
"29_04:486621",80.4972730139656
"29_05:486617",78.8130193768422
"29_06:486618",75.8930233162013
"30_01a:486622",77.4987281474371
"30_02a:486623",80.0392933968179
"30_03:486624",80.5813516398351
"30_05:486625",79.7041008418827
"30_06:486626",78.2193057202667
"31_01:486627",81.4644768194475
"31_02:486628",81.923933431491
"31_03:486629",79.5661761015304
"31_04:486630",80.3806556715087
"31_05:486631",78.5777170450692
"31_06a:486632",79.0568393599987
"32_01:486633",77.8430421090788
"32_02:486634",78.1004262213652
"32_03a:486635",80.3329060472141
"32_04:486636",80.7912711087247
"33_01a:486637",81.7431682236663
"33_02:486638",78.9703097407959
"33_05:486639",79.14544019755
"33_06:486640",75.5824877717651
"34_02:486641",79.4289811554433
"34_03:486642",80.5508616646186
"34_05:486643",77.7898485442033
"34_06:486644",80.2433252346705
"35_01:486645",78.1391546710676
"35_02:486646",78.114769593869
"35_03:486647",78.6731246644897
"35_04:486648",78.5547954305615
"36_01:486649",78.7743768090101
"36_02:486650",77.7562915503569
"36_03:486651",81.5826178031169
"36_04:486652",76.9236886402506
"36_06:486654",80.8308438983685
"37_01:486655",78.2106116724874
"37_03:486656",79.4724262672115
"37_04:486657",79.246205002153
"37_05:486659",76.4942972094611
"37_06:486660",80.6210913585741
"38_01:486661",80.4594003058119
"38_02:486662",78.9734066136958
"38_03:486663",79.0380901138297
"38_04:486664",79.134944330798
"38_05:486665",79.6449284995043
"38_06:486666",78.4589409440195
"39_02:486667",79.3042809475714
"39_03:486668",78.5861560914292
"39_04:486669",81.2859753596496
"39_05a:486670",78.6994652478075
"39_06:486671",78.0388528369197
"4_04:486501",80.0718054234341
"4_05:486502",80.7370246233522
"40_01:486672",79.7118748795281
"40_03:486673",82.104739060265
"40_04:486674",81.6185481829849
"40_06:486676",77.7120911363748
"41_01:486677",81.8738516177214
"41_02:486678",77.0649344441509
"41_05:486679",78.9097978001643
"41_06:486680",79.7365426959955
"42_01:486681",82.0037084970004
"42_02a:486682",81.4844303617096
"42_03:486683",79.0351944479713
"42_05a:486684",78.3959996341019
"42_06a:486685",78.9741638270934
"43_01:486686",79.0080403597017
"43_02:486687",81.3222337169107
"43_03:486688",81.0287605146905
"43_05:486689",77.2012451143131
"43_06:486690",78.7021371447021
"44_01:486691",79.0845738278306
"44_02:486692",81.5331514411346
"44_03:486693",79.384557336389
"44_04:486694",78.7350081776343
"44_05:486695",79.8479984964201
"45_01:486696",78.4182364961386
"45_02:486697",79.776836559007
"45_03:486698",82.2676890827788
"45_06:486700",75.2162117503505
"46_02:486701",83.1067210631162
"46_03:486702",79.8186217881599
"46_04:486703",80.8432636250513
"46_05:486704",80.1274606676195
"46_06:486705",78.3910219950869
"47_02:486706",80.5651209210126
"47_03:486707",81.2762724504185
"47_04:486708",77.8038651774426
"47_05:486709",78.3774828402142
"48_01:486710",80.5101638850336
"48_02:486711",80.0160360641614
"48_03:486712",78.9230557994549
"48_04:486713",78.3929302430079
"48_05:486714",79.6014794918994
"48_06:486715",80.5554174074479
"49_01:486716",79.8703212987378
"49_02:486717",80.486307912064
"49_03:486718",84.1611724275381
"49_04:486719",78.2940930492595
"49_05a:486720",78.2811650958329
"49_06:486721",78.2375201257913
"5_01:486503",79.5237058345755
"5_02:486504",79.2639521432523
"5_03:486505",78.7491285785501
"5_04a:486506",78.5261369360078
"5_05:486508",77.5602969556103
"5_06:486509",78.9955221658671
"50_01:486722",82.5078412382821
"50_02:486723",78.0004930545788
"50_03:486724",77.0976363108707
"50_04:486725",78.4775747280326
"50_06:486726",78.8263173369258
"51_01:486727",78.276934617377
"51_03:486728",79.0425864419353
"51_04a:486729",78.3578164489495
"51_05:486730",79.2372067274107
"51_06:486731",78.8097757540942
"52_03:486733",78.3345184469548
"52_06:486735",78.891227972755
"53_01:486736",75.4403723779707
"53_02:486737",79.658027400617
"53_03:486738",78.3211423152211
"53_04:486739",79.9520233849035
"53_06:486740",78.1621255137682
"54_01:486742",79.4748589611277
"54_02:486743",78.2982881287624
"54_04:486744",78.5360576514915
"54_05:486745",79.9909150427902
"55_01:486747",78.3656186425548
"55_02:486748",78.6547125180151
"55_04:486749",77.0225572058571
"55_05:486750",78.7571927795544
"55_06:486751",80.789415343248
"56_01:486752",78.0907985099283
"56_03:486753",81.2633496947887
"56_04:486754",78.9568337193614
"56_05:486755",77.8756142442428
"56_06:486756",79.4228777941609
"57_01:486757",80.9056500394168
"57_03a:486758",78.4166242284833
"57_04:486759",78.9525808784744
"57_05:486760",79.988125901914
"57_06:486761",79.9053493312548
"58_01:486762",79.1396323316695
"58_03:486763",80.1554715271602
"58_04:486764",78.9005046401192
"58_05:486765",80.5484778485927
"58_06a:486766",78.2613153545761
"59_01:486767",79.513622434084
"59_03:486768",79.0584878411397
"59_04:486769",78.6547393981408
"59_05:486770",78.5576941969784
"59_06:486771",78.4170786355623
"6_01:486510",80.4347236626181
"6_04:486513",82.1878239522395
"6_05a:486514",81.6143686100592
"60_01:486772",77.6432783242147
"60_02:486773",81.6302618359927
"60_04:486774",79.8224428271184
"60_05:486775",79.3775744097096
"60_06:486776",79.9714103047142
"61_01:486777",78.446231804103
"61_02a:486778",78.6972181826501
"7_03:486517",79.1571458856197
"7_04:486518",77.6430943419825
"7_06:486520",79.6124918786075
"8_01:486521",78.5573724425837
"8_02:486522",77.4932373250253
"8_03:486523",78.131655877646
"8_04:486524",81.6379973967414
"8_05:486525",79.5575347631621
"8_06:486526",77.2358904927783
"9_01:486527",81.1410796382476
"9_03a:486528",78.1318874190272
"9_04:486529",78.8494929337592
"9_05:486530",79.9597453167585
"9_06:486531",78.782073401722
"B01:486779",80.6186359278924
"B07:486780",79.1197142652043
"B12:486781",78.6805856191122
"B25:486782",80.3809490564246
"B26:486783",81.7470256128618
"B28:486784",78.1632235657239
"B30:486785",78.0728043835778
"B46:486786",80.3776452264675
"B50:486787",80.1730775396441
"D93:486788",79.6007102333486
