"","value"
"10_01:486532",4.42945364762534
"10_02:486533",4.48530059574597
"10_03a:486534",4.27184524662388
"10_05:486536",3.2984349665396
"11_01:486537",4.52931998277044
"11_02:486538",3.42266348210478
"11_03a:486539",4.35869000977068
"11_04:486540",4.9152115193941
"11_05:486541",2.91354512552868
"11_06:486542",4.83223053699808
"12_01:486543",4.16369520940138
"12_04:486544",5.45042180266402
"12_05:486545",3.41327710617188
"12_06:486546",4.51542453315825
"13_01:486547",3.39361672320815
"13_03:486549",4.07185032495236
"13_04:486550",3.12707278049689
"13_05:486551",4.74948759757973
"13_06:486552",4.26096940495734
"14_01:486553",2.4924143394477
"14_02:486554",4.15855914940447
"14_03:486555",4.00062648325392
"14_04:486556",3.74140838010572
"14_06:486558",3.8283642560556
"15_01a:486559",4.17845769647255
"15_03:486560",4.90872395029425
"15_04:486561",3.58064244947717
"15_05:486562",4.77107006074805
"15_06:486563",4.1777372633458
"16_02:486564",4.3061444120097
"16_03a:486565",5.09585813415123
"16_04:486566",5.79631501986145
"16_05:486567",3.22869432849922
"17_01:486568",3.99561514917069
"17_02:486569",2.96040339389862
"17_05a:486570",2.54745261529612
"18_01:486571",3.40006897753662
"18_02a:486572",3.35663109413185
"18_03a:486573",4.28045680010673
"18_04:486574",4.72313751072464
"18_05:486575",3.8819636022095
"19_05:486576",4.02871614044112
"19_06:486577",4.00018603373749
"20_01:486578",1.66938079249958
"20_02a:486579",5.4535369995875
"20_03:486580",6.33148474552174
"20_04:486581",4.25698677759965
"20_06:486582",6.51796202650404
"21_02a:486583",1.94888096655206
"21_04:486584",3.80209759359805
"21_05:486585",4.73148851466916
"22_01:486587",1.57659561238896
"22_02:486588",4.92357970886531
"22_04:486590",5.63901391708385
"22_06:486591",3.29099584174893
"23_01:486592",3.14151845853158
"23_03:486593",6.35939470093736
"24_02a:486594",3.17341014465521
"24_04:486595",2.27853614867907
"24_05:486596",4.49227546237701
"25_01a:486597",5.07833602902345
"25_02:486598",3.13372969779886
"25_03:486599",6.94850313427298
"25_04:486600",4.93181840657156
