"","value"
"10_01:486532",96.1244551836072
"10_02:486533",100.354086596566
"10_03a:486534",98.6603965672547
"10_05:486536",95.8591256271787
"11_01:486537",97.961516179053
"11_02:486538",100.66518761444
"11_03a:486539",97.7991649300167
"11_04:486540",94.2479298276354
"11_05:486541",97.8672006572604
"11_06:486542",111.592973342445
"12_01:486543",94.4229327616154
"12_04:486544",98.0734227826692
"12_05:486545",95.9677120294382
"12_06:486546",111.882463557696
"13_01:486547",111.862047325048
"13_03:486549",96.1834743811077
"13_04:486550",100.506838084623
"13_05:486551",96.0119887549662
"13_06:486552",96.1737259276779
"14_01:486553",100.398243011773
"14_02:486554",111.655084227685
"14_03:486555",103.49463817005
"14_04:486556",100.655846314435
"14_06:486558",100.694252071422
"15_01a:486559",97.6197589739511
"15_03:486560",95.8099820831442
"15_04:486561",94.1092901417013
"15_05:486562",103.101461193678
"15_06:486563",94.1100535593115
"16_02:486564",103.633274142427
"16_03a:486565",100.508028807288
"16_04:486566",103.230765046367
"16_05:486567",94.1365991725768
"17_01:486568",98.0385491340592
"17_02:486569",98.0687563107634
"17_05a:486570",97.8718496424653
"18_01:486571",100.409020260751
"18_02a:486572",98.0288515554473
"18_03a:486573",95.0258798599274
"18_04:486574",98.0490534902988
"18_05:486575",98.105662702322
"19_05:486576",103.066175547178
"19_06:486577",103.041188765652
"20_01:486578",98.7422751028629
"20_02a:486579",105.720922501785
"20_03:486580",102.696668599632
"20_04:486581",89.8267271241776
"20_06:486582",102.885678073583
"21_02a:486583",101.660620989419
"21_04:486584",97.457423685658
"21_05:486585",105.864990228732
"22_01:486587",103.222912173888
"22_02:486588",97.8341010030701
"22_04:486590",97.7375859852587
"22_06:486591",95.1901960321534
"23_01:486592",87.3376175159786
"23_03:486593",97.8421899002745
"24_02a:486594",97.7985995104192
"24_04:486595",100.319130384403
"24_05:486596",100.505694933025
"25_01a:486597",99.1994424061668
"25_02:486598",97.4957063010517
"25_03:486599",103.269684697598
"25_04:486600",97.3955631371225
"25_06:486601",95.273491812802
"26_01a:486602",99.2346732603701
"26_02:486603",97.3145294288637
"26_04:486604",97.5631725851131
"26_05:486605",95.3084293536715
"26_06:486606",97.5241537351462
"27_01:486607",107.414837457474
"27_02:486608",109.725590138095
"27_04:486609",99.8048334323719
"27_06:486610",98.9282250170572
"28_01:486611",97.4536295263279
"28_02:486612",99.3513915282974
"28_03:486613",95.5770644762815
"28_04:486614",90.4578372589157
"28_05:486615",99.2943925102777
"29_01:486616",95.5691595835768
"29_02a:486619",102.990385466438
"29_03:486620",95.6029059250972
"29_04:486621",97.642700702069
"29_05:486617",97.5189325649467
"29_06:486618",95.6458296835151
"30_01a:486622",110.191778776188
"30_02a:486623",95.4619369673419
"30_03:486624",95.2687826643268
"30_05:486625",94.7140249444343
"30_06:486626",95.3406460281384
"31_01:486627",97.3436450542767
"31_02:486628",99.300296565852
"31_03:486629",99.2759776295589
"31_04:486630",101.714341985261
"31_05:486631",97.2905593494503
"31_06a:486632",101.848971288697
"32_01:486633",101.868841348012
"32_02:486634",99.2849101562748
"32_03a:486635",104.626146034927
"32_04:486636",97.4359050684974
"33_01a:486637",108.24897334218
"33_02:486638",99.4813434919215
"33_05:486639",95.4729262806107
"33_06:486640",95.5925653137387
"34_02:486641",101.958350033475
"34_03:486642",99.1783253027637
"34_05:486643",97.3832741972463
"34_06:486644",97.3861208077411
"35_01:486645",99.0830824243939
"35_02:486646",104.333700841142
"35_03:486647",101.636703786027
"35_04:486648",101.434937340198
"36_01:486649",97.4533101697664
"36_02:486650",95.6013135855143
"36_03:486651",97.5237274494292
"36_04:486652",97.4938816842097
"36_06:486654",93.0937663246023
"37_01:486655",95.5059139292158
"37_03:486656",97.0417150608167
"37_04:486657",99.871833617475
"37_05:486659",99.3007198526376
"37_06:486660",97.3618883727458
"38_01:486661",99.6439990668472
"38_02:486662",99.5511203799703
"38_03:486663",99.5447050689317
"38_04:486664",104.897331834505
"38_05:486665",102.192577139819
"38_06:486666",102.155253245742
"39_02:486667",102.076787323608
"39_03:486668",102.118421753397
"39_04:486669",99.9608534677174
"39_05a:486670",100.203249921198
"39_06:486671",95.5734705108765
"4_04:486501",100.403055742963
"4_05:486502",97.6835489975029
"40_01:486672",99.5449403717
"40_03:486673",97.5867856520642
"40_04:486674",99.3944799853034
"40_06:486676",104.629742902016
"41_01:486677",107.588629725219
"41_02:486678",101.7568201264
"41_05:486679",99.2421333457772
"41_06:486680",101.909250632077
"42_01:486681",92.9659830394739
"42_02a:486682",93.1058960072363
"42_03:486683",99.3501922035791
"42_05a:486684",99.4628462179872
"42_06a:486685",104.527507642384
"43_01:486686",101.862182562507
"43_02:486687",97.6737896553444
"43_03:486688",97.3603950435009
"43_05:486689",95.6715836137101
"43_06:486690",95.3968682454093
"44_01:486691",95.7492244774756
"44_02:486692",95.7211749609438
"44_03:486693",95.8168376491116
"44_04:486694",95.6764972724288
"44_05:486695",99.4914544242054
"45_01:486696",102.099712637123
"45_02:486697",95.5929795499753
"45_03:486698",99.2474805270475
"45_06:486700",113.039797549637
"46_02:486701",97.455450556768
"46_03:486702",95.4402799225107
"46_04:486703",99.3810333063924
"46_05:486704",104.636894077402
"46_06:486705",99.29165364436
"47_02:486706",101.860921077531
"47_03:486707",101.629992540177
"47_04:486708",104.290957368989
"47_05:486709",104.332094673892
"48_01:486710",102.043633939946
"48_02:486711",95.6179527321444
"48_03:486712",104.6011510911
"48_04:486713",97.3752452278025
"48_05:486714",102.028830541203
"48_06:486715",102.029535946999
"49_01:486716",95.279901715244
"49_02:486717",108.314664390646
"49_03:486718",110.789065419187
"49_04:486719",95.0162685267417
