"","value"
"10_01:486532",88.0402670403584
"10_02:486533",95.0482949451051
"10_03a:486534",95.084453371932
"10_05:486536",93.3181405679217
"11_01:486537",93.5354937672869
"11_02:486538",95.3900420270043
"11_03a:486539",96.4985142743358
"11_04:486540",93.473926678918
"11_05:486541",97.0821122704762
"11_06:486542",105.076677207485
"12_01:486543",93.4320808441177
"12_04:486544",95.2178723170052
"12_05:486545",95.0316246070929
"12_06:486546",107.47186022206
"13_01:486547",105.017431358443
"13_03:486549",90.9111812315814
"13_04:486550",95.3761766628178
"13_05:486551",93.4337314443832
"13_06:486552",93.5366248816338
"14_01:486553",95.1275633465806
"14_02:486554",105.005664144089
"14_03:486555",102.36410193104
"14_04:486556",97.9050208109868
"14_06:486558",97.1806961793114
"15_01a:486559",96.4505667493774
"15_03:486560",93.1772742850922
"15_04:486561",90.9748116255454
"15_05:486562",99.6420579456825
"15_06:486563",93.497604519404
"16_02:486564",102.620229547051
"16_03a:486565",93.3269523854774
"16_04:486566",97.0472827838211
"16_05:486567",90.7845818736088
"17_01:486568",95.2812857814011
"17_02:486569",96.6544204440097
"17_05a:486570",93.6005112322378
"18_01:486571",95.1097242917276
"18_02a:486572",96.6685212142065
"18_03a:486573",93.768710524662
"18_04:486574",95.3748079864735
"18_05:486575",93.6202968275076
"19_05:486576",101.872008312141
"19_06:486577",99.3151704763337
"20_01:486578",96.9275026610389
"20_02a:486579",104.059909663629
"20_03:486580",94.5006393568273
"20_04:486581",86.5047407422313
"20_06:486582",99.3023056786404
"21_02a:486583",100.067327574833
"21_04:486584",96.0518887004525
"21_05:486585",100.075579337812
"22_01:486587",99.3951993382741
"22_02:486588",94.282022032526
"22_04:486590",92.2109178801477
"22_06:486591",91.6920579383139
"23_01:486592",86.6429706144111
"23_03:486593",91.7051539121541
"24_02a:486594",91.9163657612247
"24_04:486595",96.70076311667
"24_05:486596",96.7023695802576
"25_01a:486597",93.8161458768373
"25_02:486598",95.7663946532738
"25_03:486599",100.85100195212
"25_04:486600",91.4063110962747
