"","value"
"10_01:486532",18.7048389682878
"10_02:486533",19.3629013058172
"10_03a:486534",12.8652033262381
"10_05:486536",9.48102886765221
"11_01:486537",20.6094703922584
"11_02:486538",19.0835842786997
"11_04:486540",10.1580926906532
"11_05:486541",8.91869588106216
"11_06:486542",4.3068681277487
"12_01:486543",16.8416382286766
"12_04:486544",11.5363840266303
"12_05:486545",18.9366363681531
"12_06:486546",6.59323451615586
"13_01:486547",10.0619632944556
"13_03:486549",20.1254064870548
"13_04:486550",10.2977138485014
"13_05:486551",43.4415418199191
"13_06:486552",25.4781339173556
"14_01:486553",7.8380290991471
"14_03:486555",8.2751826097062
"14_04:486556",14.1957574542657
"14_06:486558",18.8234676215408
"15_03:486560",8.32697165798449
"15_04:486561",12.9010955887597
"15_05:486562",10.8210786054301
"15_06:486563",10.8864351940421
"16_02:486564",20.5387730613593
"16_03a:486565",4.87352630362609
"16_05:486567",6.56582939238838
"17_01:486568",18.0899730150223
"17_02:486569",8.65372510203285
"17_05a:486570",16.935401995511
"18_01:486571",15.6534713988103
"18_02a:486572",12.0470048516296
"18_03a:486573",15.3251441366161
"18_04:486574",9.13165401375575
"18_05:486575",18.1133466565408
"19_05:486576",11.2485301695838
"20_01:486578",11.8621014348937
"20_03:486580",14.8036814620392
"20_04:486581",13.0127641442307
"20_06:486582",10.4002798211866
"21_05:486585",12.9023214022725
"22_02:486588",12.4127376924886
"22_06:486591",13.1939705684243
"23_03:486593",19.2358415531002
"24_02a:486594",11.0212503446541
"24_05:486596",12.0556130804358
"25_01a:486597",8.48243909963293
"25_02:486598",8.8113054480646
"25_03:486599",6.07602399447727
"25_06:486601",20.0349204601254
"26_01a:486602",6.21474976364778
"26_02:486603",2.0268011622838
"26_04:486604",10.9990700600341
"26_05:486605",21.864964325943
"26_06:486606",27.3002105836563
"27_01:486607",14.5485839627916
"27_04:486609",14.789613384372
"27_06:486610",6.62360872410538
"28_01:486611",5.78154355798037
"28_02:486612",16.0936738183053
"28_03:486613",19.8743064224523
"28_04:486614",19.8959546594444
"28_05:486615",4.24741395110492
"29_01:486616",3.85643892271024
"29_02a:486619",2.33025836684823
"29_03:486620",17.5993600839611
"29_04:486621",11.0594747005378
"29_05:486617",7.79408924553511
"29_06:486618",16.7882726664632
"30_01a:486622",15.8444990233041
"30_02a:486623",8.23875019950285
"30_03:486624",2.37971918470861
"30_05:486625",5.94258886478909
"30_06:486626",20.8758647031622
"31_01:486627",5.70401106916925
"31_02:486628",17.1869190380022
"31_03:486629",23.8721506507437
"31_04:486630",7.45478501627332
"31_05:486631",5.12232067876422
"32_01:486633",21.1022515895883
"32_02:486634",22.1685576505923
"32_03a:486635",9.81825883661862
"32_04:486636",10.2051311103351
"33_02:486638",15.2928817539541
"33_05:486639",19.543683461552
"33_06:486640",11.0937383603945
"34_02:486641",14.9155261509443
"34_03:486642",13.7754908225271
"34_05:486643",12.4532275057151
"34_06:486644",11.7908734033422
"35_01:486645",17.6933896075193
"35_02:486646",6.44984545665873
"35_03:486647",1.53616487546031
"35_04:486648",7.87569551675611
"36_01:486649",5.72101556735306
"36_02:486650",29.6143327413863
"36_03:486651",12.7895086764941
"36_04:486652",32.6636162267522
"36_06:486654",21.0187571522022
"37_01:486655",18.0116438064859
"37_03:486656",6.37655513210548
"37_04:486657",22.3660387322996
"37_05:486659",7.14963020657411
"38_01:486661",21.2057765561276
"38_02:486662",5.29243230723891
"38_03:486663",17.5763744250408
"38_04:486664",10.0273026638384
"38_05:486665",9.44563929655973
"38_06:486666",19.6721664778773
"39_02:486667",9.58955144464281
"39_03:486668",7.09754516402828
"39_04:486669",2.9520287347177
"39_05a:486670",6.73070904494523
"39_06:486671",15.3174904039589
"4_04:486501",34.7966245749561
"4_05:486502",8.61185539663477
"40_01:486672",6.18874968327471
"40_03:486673",11.3598183451649
"40_04:486674",20.2489091530443
"40_06:486676",5.17810312239443
"41_01:486677",6.30177780943279
"41_05:486679",14.7671121643922
"41_06:486680",6.87302388602858
"42_01:486681",32.0193292072779
"42_02a:486682",39.254882658244
"42_03:486683",59.7560276656745
"42_05a:486684",1.89356646318648
"43_01:486686",6.21075930758164
"43_02:486687",20.6651182714107
"43_03:486688",9.51668896945603
"43_05:486689",57.4638221546341
"43_06:486690",0.848057857899747
"44_01:486691",23.2530043010592
"44_02:486692",32.3378746820033
"44_03:486693",9.15458870184245
"44_04:486694",2.01773145080779
"44_05:486695",17.860834413289
"45_01:486696",8.67447874423943
"45_02:486697",11.2334550060888
"45_03:486698",11.9963751037375
"45_06:486700",1.34042638091925
"46_02:486701",5.61852000752116
"46_03:486702",26.6845125093683
"46_04:486703",38.6585860404203
"46_05:486704",0.628421329175303
"46_06:486705",5.1111291887509
"47_02:486706",21.1454570909583
"47_03:486707",31.3386352408555
"47_04:486708",17.2895639330972
"47_05:486709",10.9043810775727
"48_01:486710",4.23766046576126
"48_02:486711",44.8222558795841
"48_03:486712",4.53057971407899
"48_04:486713",39.0554600339731
"48_05:486714",12.8796641507291
"48_06:486715",4.16142466843598
"49_01:486716",38.0028018497199
"49_02:486717",13.6366071945836
"49_04:486719",16.2803679628064
"49_06:486721",16.1045486769392
"5_01:486503",6.7665248221587
"5_02:486504",12.6074323968935
"5_03:486505",8.03273093395283
"5_04a:486506",9.74025709805892
"5_05:486508",23.3692543373849
"5_06:486509",7.80118427430759
"50_01:486722",13.0228029312357
"50_02:486723",14.5290808112528
"50_03:486724",17.5022769069383
"50_04:486725",14.4147271152649
"50_06:486726",13.1243197853423
"51_03:486728",16.3736768877652
"51_04a:486729",12.2569438322006
"51_06:486731",21.2569992972863
"52_03:486733",19.576133998851
"52_06:486735",12.5309809679525
"53_01:486736",11.7309558609031
"53_02:486737",11.2418027425526
"53_04:486739",14.8918009641558
"53_06:486740",10.8417886153581
"54_01:486742",13.7643283700635
"54_02:486743",20.746644532578
"54_04:486744",14.753724289668
"54_05:486745",12.3973589607375
"55_01:486747",11.8849016891688
"55_02:486748",11.8086658918435
"55_04:486749",20.7612750408926
"55_05:486750",18.6909639577057
"56_01:486752",11.617923286319
"56_03:486753",12.2365519462704
"56_04:486754",13.1045213341617
"56_05:486755",16.234623305237
"56_06:486756",15.8551268903722
"57_01:486757",10.8826665375324
"57_04:486759",10.323089257801
"57_05:486760",17.8678352438653
"58_01:486762",11.9172541102993
"58_03:486763",12.5729152478601
"58_04:486764",13.9840729877139
"58_05:486765",12.6772833566788
"58_06a:486766",12.640809772791
"59_01:486767",16.2114448053325
"59_03:486768",11.1021433272299
"59_04:486769",11.074545239631
"59_05:486770",11.2125356776254
"59_06:486771",12.9451909547775
"6_01:486510",8.15701758554229
"6_04:486513",15.0006890927513
"6_05a:486514",7.3838230654853
"60_01:486772",11.9665913399065
"60_02:486773",13.5294251850745
"60_04:486774",13.5641013400097
"60_05:486775",11.8522376439186
"60_06:486776",18.5458804516902
"61_01:486777",12.107611363531
"61_02a:486778",11.9551397688805
"7_01a:486515",7.70328868830321
"7_04:486518",24.4424246378519
"7_06:486520",19.163322400044
"8_01:486521",9.96823702131011
"8_02:486522",16.3839221071322
"8_03:486523",46.5678935390629
"8_04:486524",16.732748672628
"8_06:486526",18.428214115552
"9_01:486527",19.3161667399177
"9_04:486529",5.14195732219668
"9_05:486530",6.34506556844806
"B01:486779",7.1802698888565
"B07:486780",7.0558410565471
"B12:486781",24.1877513288905
"B25:486782",27.918855911671
"B28:486784",8.98566708891178
"B30:486785",11.0030877619689
"B46:486786",17.0186547403929
"B50:486787",6.06117053336472
"D93:486788",7.62195263823247
