"","value"
"10_01:486532",220.987584352462
"10_02:486533",206.78753859319
"10_03a:486534",240.851963437274
"10_05:486536",203.010860778098
"11_01:486537",212.067730647885
"11_02:486538",244.849602281312
"11_03a:486539",203.344513116017
"11_04:486540",197.181290543039
"11_05:486541",205.535277351129
"11_06:486542",255.463959816779
"12_01:486543",227.40971152694
"12_04:486544",205.997271800138
"12_05:486545",209.61661708295
"12_06:486546",205.002039414571
"13_01:486547",204.814118844854
"13_03:486549",222.02081613911
"13_04:486550",206.331705144806
"13_05:486551",193.10914437353
"13_06:486552",189.6273001781
"14_01:486553",212.207406154625
"14_02:486554",176.014991007361
"14_03:486555",182.545601570251
"14_04:486556",225.302269905446
"14_06:486558",206.923032098781
"15_01a:486559",190.97201450566
"15_03:486560",245.685251343657
"15_04:486561",203.432060946417
"15_05:486562",210.996501804983
"15_06:486563",202.343396727668
"16_02:486564",244.994760976531
"16_03a:486565",193.458125765168
"16_04:486566",201.740066938584
"16_05:486567",207.870568635484
"17_01:486568",223.370544585669
"17_02:486569",250.717570288708
"17_05a:486570",172.967407781188
"18_01:486571",213.867902817941
"18_02a:486572",212.61911573953
"18_03a:486573",193.167206830991
"18_04:486574",178.541424865185
"18_05:486575",230.194930365147
"19_05:486576",219.313348171827
"19_06:486577",187.034022067367
"20_01:486578",162.513411530952
"20_02a:486579",222.227369791655
"20_03:486580",221.397994620802
"20_04:486581",205.316963381217
"20_06:486582",206.664213560851
"21_02a:486583",190.429680153574
"21_04:486584",226.270890668941
"21_05:486585",185.451954074049
"22_01:486587",169.362617197576
"22_02:486588",232.530766180587
"22_04:486590",240.828447911129
"22_06:486591",246.819982347891
"23_01:486592",206.694030231494
"23_03:486593",376.656061257538
"24_02a:486594",295.029206557712
"24_04:486595",197.36406535535
"24_05:486596",179.840582234854
"25_01a:486597",219.567537269348
"25_02:486598",205.083300971732
"25_03:486599",209.2885011011
"25_04:486600",228.598803400355
"25_06:486601",199.845275696666
"26_01a:486602",216.640192314825
"26_02:486603",207.159470666477
"26_04:486604",222.963858516066
"26_05:486605",173.323320183042
"26_06:486606",204.384526322284
"27_01:486607",200.703298220729
"27_02:486608",184.905636474657
"27_04:486609",198.421081613635
"27_06:486610",233.472382448146
"28_01:486611",214.08924659136
"28_02:486612",208.462233142908
"28_03:486613",189.63182680113
"28_04:486614",180.079513614987
"28_05:486615",199.690151973683
"29_01:486616",212.081056968686
"29_02a:486619",213.777419636312
"29_03:486620",203.652840701694
"29_04:486621",205.422909907487
"29_05:486617",205.18777383742
"29_06:486618",203.24150289647
"30_01a:486622",282.482934621756
"30_02a:486623",225.357110384726
"30_03:486624",229.195585385015
"30_05:486625",198.092308843818
"30_06:486626",192.622897983712
"31_01:486627",216.088315243946
"31_02:486628",214.709379648656
"31_03:486629",213.514447920352
"31_04:486630",218.642456150994
"31_05:486631",196.743847343057
"31_06a:486632",151.567949904651
"32_01:486633",217.364300311704
"32_02:486634",191.912399851045
"32_03a:486635",213.044848179921
"32_04:486636",244.68343289933
"33_01a:486637",249.736029464401
"33_02:486638",241.956515528786
"33_05:486639",218.874326042324
"33_06:486640",219.498721282078
"34_02:486641",206.451172210568
"34_03:486642",218.154190144259
"34_05:486643",225.32901530073
"34_06:486644",209.832560561975
"35_01:486645",183.261516971475
"35_02:486646",268.007591900102
"35_03:486647",185.124058210234
"35_04:486648",196.456783027187
"36_01:486649",207.902423998841
"36_02:486650",183.298386907769
"36_03:486651",212.228616850337
"36_04:486652",228.600882987573
"36_06:486654",178.533889398122
"37_01:486655",239.196624778736
"37_03:486656",216.450658622803
"37_04:486657",261.246644222651
"37_05:486659",202.157689671952
"37_06:486660",222.481131381396
"38_01:486661",185.275941030236
"38_02:486662",232.759057611936
"38_03:486663",230.642683174065
"38_04:486664",208.873579596352
"38_05:486665",241.818107409222
"38_06:486666",214.179414025966
"39_02:486667",246.173327049451
"39_03:486668",199.924880821753
"39_04:486669",186.460469687349
"39_05a:486670",232.046207773341
"39_06:486671",214.362867185199
"4_04:486501",242.05403177199
"4_05:486502",215.090747859762
"40_01:486672",217.761366308638
"40_03:486673",223.858314680922
"40_04:486674",203.37509739544
"40_06:486676",229.153156828394
"41_01:486677",225.84046854715
"41_02:486678",177.06561948996
"41_05:486679",206.353955586042
"41_06:486680",262.033054989808
"42_01:486681",195.949663110229
"42_02a:486682",231.044583535702
"42_03:486683",209.634449600468
"42_05a:486684",245.873428277109
"42_06a:486685",155.269861834584
"43_01:486686",204.335869193561
"43_02:486687",236.199833355389
"43_03:486688",210.28127192977
"43_05:486689",197.307418044454
"43_06:486690",227.229556211154
"44_01:486691",194.00739282875
"44_02:486692",205.963306010784
"44_03:486693",249.887623609306
"44_04:486694",223.937058457131
"44_05:486695",211.270898055195
"45_01:486696",219.832582435491
"45_02:486697",193.082742251905
"45_03:486698",234.520850098026
"45_06:486700",216.512033258987
"46_02:486701",200.322541504405
"46_03:486702",195.208273352932
"46_04:486703",196.31740387554
"46_05:486704",165.843310939777
"46_06:486705",237.496661501524
"47_02:486706",193.053060007626
"47_03:486707",223.792239077167
"47_04:486708",187.132464762513
"47_05:486709",179.987852166849
"48_01:486710",212.510122944305
"48_02:486711",206.356519053555
"48_03:486712",183.16183879534
"48_04:486713",218.175693725614
"48_05:486714",278.775429607953
"48_06:486715",212.860213238386
"49_01:486716",202.226677346934
"49_02:486717",232.350339775226
"49_03:486718",218.045733491549
"49_04:486719",200.46213534029
"49_05a:486720",200.926657962335
