"","value"
"10_01:486532",3.02227394815673
"10_02:486533",2.65190601873252
"10_03a:486534",3.11285211466814
"10_05:486536",2.58373583348722
"11_01:486537",2.73596148019385
"11_02:486538",2.90413263107813
"11_03a:486539",2.74733526006573
"11_04:486540",2.84131388809173
"11_05:486541",2.44183192484033
"11_06:486542",3.26479820638816
"12_01:486543",2.9026358861991
"12_04:486544",2.53391490153943
"12_05:486545",2.50126282979167
"12_06:486546",2.81299305939258
"13_01:486547",2.74489216824366
"13_03:486549",2.72165880395123
"13_04:486550",2.55534027324338
"13_05:486551",2.36920281132595
"13_06:486552",2.09573727211899
"14_01:486553",2.76056638603408
"14_02:486554",2.33436279171306
"14_03:486555",2.5089903506167
"14_04:486556",3.31550863266211
"14_06:486558",2.49495276067184
"15_01a:486559",2.59838931729314
"15_03:486560",3.08719250188087
"15_04:486561",2.59954279730391
"15_05:486562",2.58148872007264
"15_06:486563",2.62356632441787
"16_02:486564",3.07469810037567
"16_03a:486565",2.6087074216001
"16_04:486566",2.9923782532476
"16_05:486567",2.66362110971783
"17_01:486568",2.73925624323747
"17_02:486569",3.74041987598063
"17_05a:486570",2.20843612018416
"18_01:486571",2.5363144649639
"18_02a:486572",2.42757773656809
"18_03a:486573",2.32321080012465
"18_04:486574",2.66483658737352
"18_05:486575",2.58286716131834
"19_05:486576",2.50321252162706
"19_06:486577",2.14245238126534
"20_01:486578",1.78908768300557
"20_02a:486579",2.87644511156252
"20_03:486580",3.10690388139971
"20_04:486581",2.60682041997968
"20_06:486582",2.54453511521911
"21_02a:486583",2.28469021400996
"21_04:486584",2.95169151878896
"21_05:486585",2.14573376376495
"22_01:486587",2.07503130723466
"22_02:486588",2.59418948502496
"22_04:486590",3.19238027608412
"22_06:486591",2.96238107584154
"23_01:486592",2.64515708811978
"23_03:486593",5.513054821813
"24_02a:486594",4.08999759470056
"24_04:486595",2.56270589452305
"24_05:486596",2.1421559749765
"25_01a:486597",3.24399965272001
"25_02:486598",2.76240915248209
"25_03:486599",2.76452262768835
"25_04:486600",3.38239545842716
"25_06:486601",2.53953180137315
"26_01a:486602",3.07382857155434
"26_02:486603",2.68025436151143
"26_04:486604",3.43175287357791
"26_05:486605",2.27414607555942
"26_06:486606",2.72889265862757
"27_01:486607",2.24552389189994
"27_02:486608",2.46738161252007
"27_04:486609",2.59745030811811
"27_06:486610",3.11663224052147
"28_01:486611",2.75647075933133
"28_02:486612",2.63468325435057
"28_03:486613",2.36218349722383
"28_04:486614",2.15069762661706
"28_05:486615",2.74462334746231
"29_01:486616",2.93008772939494
"29_02a:486619",3.02016995115009
"29_03:486620",2.39219976438307
"29_04:486621",3.00392898220968
"29_05:486617",2.86829555318046
"29_06:486618",2.66020774884092
"30_01a:486622",3.26448853694541
"30_02a:486623",2.71439255596912
"30_03:486624",3.48035751032983
"30_05:486625",2.6413651948382
"30_06:486626",2.3897091936599
"31_01:486627",3.08028541890995
"31_02:486628",2.68112716368177
"31_03:486629",2.69345304843885
"31_04:486630",2.55987053568553
"31_05:486631",2.58432895147733
"31_06a:486632",2.0702479487173
"32_01:486633",2.94681788025895
"32_02:486634",2.40083350503756
"32_03a:486635",2.75558788109481
"32_04:486636",3.48955235961555
"33_02:486638",3.05385894519168
"33_05:486639",2.78975674879039
"33_06:486640",3.50982941250385
"34_02:486641",2.40533377354105
"34_03:486642",2.5148528236932
"34_05:486643",2.92176123210251
"34_06:486644",2.76358127999683
"35_01:486645",2.32555765045278
"35_02:486646",3.11919611342585
"35_03:486647",2.25989670522176
"35_04:486648",2.72660194627765
"36_01:486649",2.7227540906421
"36_02:486650",2.28716983829144
"36_03:486651",2.92049603619779
"36_04:486652",2.83393783371364
"36_06:486654",2.10905608761936
"37_01:486655",3.20743296350235
"37_03:486656",3.01120980323943
"37_04:486657",3.33359841491851
"37_05:486659",2.52014971586749
"37_06:486660",2.83931125700518
"38_01:486661",2.29249312693855
"38_02:486662",2.98843051216358
"38_03:486663",2.91099278001675
"38_04:486664",2.5913614188022
"38_05:486665",3.51893428091696
"38_06:486666",2.74314885193241
"39_02:486667",3.11121893570382
"39_03:486668",2.45482568991179
"39_04:486669",2.57894502527617
"39_05a:486670",3.35379061842319
"39_06:486671",2.50073740074144
"4_04:486501",2.90653056543872
"4_05:486502",2.6855292408627
"40_01:486672",3.16298731441459
"40_03:486673",2.82296979967147
"40_04:486674",2.35142397635446
"40_06:486676",3.07085531770602
"41_01:486677",3.05730373967494
"41_02:486678",2.44010583647837
"41_05:486679",2.78975254349232
"41_06:486680",3.37328596369534
"42_01:486681",2.211614441765
"42_02a:486682",3.00551716565952
"42_03:486683",2.04129415090047
"42_05a:486684",3.37774921365968
"42_06a:486685",2.05252873461458
"43_01:486686",2.65020216535884
"43_02:486687",3.0463187271126
"43_03:486688",2.8705380302094
"43_05:486689",2.40456996565469
"43_06:486690",3.02566624693852
"44_01:486691",2.48603671178948
"44_02:486692",2.54056244744842
"44_03:486693",2.98856095274424
"44_04:486694",3.08967916556666
"44_05:486695",2.72865213482092
"45_01:486696",2.80312744131219
"45_02:486697",2.34712716505115
"45_03:486698",2.98086989806916
"45_06:486700",2.82781447202667
"46_02:486701",2.62918795929597
"46_03:486702",2.02278552962941
"46_04:486703",2.11278493514217
"46_05:486704",2.14123555523157
"46_06:486705",3.40020769290975
"47_02:486706",2.34679430396096
"47_03:486707",2.77715551352337
"47_04:486708",2.29884597694492
"47_05:486709",2.249457408719
"48_01:486710",2.87288944201429
"48_02:486711",2.50007744143331
"48_03:486712",2.38622386193039
"48_04:486713",2.68065271583955
"48_05:486714",3.08653479612101
"48_06:486715",3.01961247633435
"49_01:486716",2.45694221439596
"49_02:486717",2.91671843671201
"49_03:486718",2.71209039386981
"49_04:486719",2.54056381361206
"49_05a:486720",2.57440118767548
"49_06:486721",2.35912850448794
"5_01:486503",2.48039285169566
"5_02:486504",3.20661256533437
"5_03:486505",2.65488808188334
"5_04a:486506",3.07559277972549
"5_05:486508",2.57798954623196
"5_06:486509",2.82027638830752
"50_01:486722",2.62961412019614
"50_02:486723",2.56615155925532
"50_03:486724",2.55670076410575
"50_04:486725",2.89919501706175
"50_06:486726",2.70024611631201
"51_01:486727",2.3947242178982
"51_03:486728",2.87139422486764
"51_04a:486729",3.11245540187929
"51_05:486730",3.41664113816723
"51_06:486731",2.12393471176366
"52_03:486733",2.6280849930018
"52_06:486735",3.02416205756447
"53_01:486736",2.81891908645334
"53_02:486737",2.21097303414167
"53_03:486738",3.83153373363647
"53_04:486739",2.63679317108522
"53_06:486740",2.93854629847788
"54_01:486742",2.87812039638378
"54_02:486743",2.56506557398981
"54_04:486744",3.03931345767537
"54_05:486745",2.76979480286808
"55_01:486747",2.66881602521266
"55_02:486748",3.16720616119199
"55_04:486749",2.69916806597535
"55_05:486750",2.44662628473164
"55_06:486751",2.42658627181209
"56_01:486752",3.38568556165689
"56_03:486753",3.13910525272844
"56_04:486754",2.56629652198763
"56_05:486755",3.16057634548254
"56_06:486756",2.41111429674123
"57_01:486757",2.35128659515513
"57_03a:486758",2.57094393936729
"57_04:486759",2.46658552101505
"57_05:486760",2.60458225648934
"57_06:486761",2.88528706949947
