"","value"
"10_01:486532",1.31125507098261
"10_02:486533",1.27178438878481
"10_03a:486534",1.29361046296314
"10_05:486536",1.25910214479386
"11_01:486537",1.242009524811
"11_02:486538",1.24650302954952
"11_03a:486539",1.32192424126336
"11_04:486540",1.35426670912342
"11_05:486541",1.23560890039433
"11_06:486542",1.28926678038445
"12_01:486543",1.25293926126359
"12_04:486544",1.25679398694997
"12_05:486545",1.2153121573855
"12_06:486546",1.32148385679418
"13_01:486547",1.29481047050791
"13_03:486549",1.26667368521219
"13_04:486550",1.26536290809412
"13_05:486551",1.25645961588048
"13_06:486552",1.17435822029804
"14_01:486553",1.26636642937712
"14_02:486554",1.27944829495988
"14_03:486555",1.3170716011752
"14_04:486556",1.36903861874245
"14_06:486558",1.2366208856598
"15_01a:486559",1.29317760067294
"15_03:486560",1.26677668634486
"15_04:486561",1.26533304942987
"15_05:486562",1.23050379432095
"15_06:486563",1.28144745038117
"16_02:486564",1.29594836572537
"16_03a:486565",1.32302620557389
"16_04:486566",1.39039508432592
"16_05:486567",1.28045752549575
"17_01:486568",1.22661858292928
"17_02:486569",1.36244280774434
"17_05a:486570",1.20985518196773
"18_01:486571",1.23236086885143
"18_02a:486572",1.18840015492782
"18_03a:486573",1.2261348735244
"18_04:486574",1.39385700661673
"18_05:486575",1.2104962195714
"19_05:486576",1.22504247513598
"19_06:486577",1.27979493996621
"20_01:486578",1.25103716389076
"20_02a:486579",1.28150700756656
"20_03:486580",1.3585668773141
"20_04:486581",1.31537918122602
"20_06:486582",1.29224635855237
"21_02a:486583",1.29270472677563
"21_04:486584",1.28514916030805
"21_05:486585",1.28389046974096
"22_01:486587",1.35832481725727
"22_02:486588",1.24654617473371
"22_04:486590",1.27841233840505
"22_06:486591",1.24719542506588
"23_01:486592",1.28885473834619
"23_03:486593",1.2874575463312
"24_02a:486594",1.29527302199737
"24_04:486595",1.27509058095423
"24_05:486596",1.30416589323979
"25_01a:486597",1.38072129735066
"25_02:486598",1.33703504050459
"25_03:486599",1.29375193178575
"25_04:486600",1.36896322632338
"25_06:486601",1.27205547572424
"26_01a:486602",1.31352748280785
"26_02:486603",1.25285200263371
"26_04:486604",1.45925442085406
"26_05:486605",1.33174678655361
"26_06:486606",1.31194048578976
"27_01:486607",1.1798011621933
"27_02:486608",1.32267536261719
"27_04:486609",1.30226165050409
"27_06:486610",1.29420494230652
"28_01:486611",1.24744533059858
"28_02:486612",1.29955576627238
"28_03:486613",1.27481234555116
"28_04:486614",1.22921672987065
"28_05:486615",1.35562537183768
"29_01:486616",1.28636887912358
"29_02a:486619",1.33139889629454
"29_03:486620",1.22952487732098
"29_04:486621",1.38763567319812
"29_05:486617",1.35337016379861
"29_06:486618",1.28106928536842
"30_01a:486622",1.20520850734045
"30_02a:486623",1.24973874824862
"30_03:486624",1.42104071350174
"30_05:486625",1.32824166807112
"30_06:486626",1.28140319326415
"31_01:486627",1.3282451226869
"31_02:486628",1.25941831008869
"31_03:486629",1.25839659875661
"31_04:486630",1.21008737407981
"31_05:486631",1.29465583045957
"31_06a:486632",1.3522004304622
"32_01:486633",1.30579005503744
"32_02:486634",1.2467237308563
"32_03a:486635",1.30922324116452
"32_04:486636",1.33337371028484
"33_02:486638",1.27094313386195
"33_05:486639",1.25899465620529
"33_06:486640",1.42951943162762
"34_02:486641",1.22399467671344
"34_03:486642",1.22542242028431
"34_05:486643",1.28675405978633
"34_06:486644",1.30899408748568
"35_01:486645",1.26310275148694
"35_02:486646",1.22388114909896
"35_03:486647",1.23190427192163
"35_04:486648",1.3463626764771
"36_01:486649",1.29930364133933
"36_02:486650",1.23663022425662
"36_03:486651",1.31534180061111
"36_04:486652",1.22754616485288
"36_06:486654",1.24579003862181
"37_01:486655",1.27318483435555
"37_03:486656",1.33320141161333
"37_04:486657",1.29347923401622
"37_05:486659",1.27297755481519
"37_06:486660",1.30342281861331
"38_01:486661",1.22181526836309
"38_02:486662",1.27353460179732
"38_03:486663",1.24527813342382
"38_04:486664",1.24443866500864
"38_05:486665",1.36192890419283
"38_06:486666",1.28812892906721
"39_02:486667",1.24692585896229
"39_03:486668",1.28035609590526
"39_04:486669",1.33503034833172
"39_05a:486670",1.36119454541
"39_06:486671",1.22757864274731
"4_04:486501",1.21176516001186
"4_05:486502",1.24656488769253
"40_01:486672",1.34860368446144
"40_03:486673",1.25539720061116
"40_04:486674",1.22110940276693
"40_06:486676",1.31425266016199
"41_01:486677",1.27936921948728
"41_02:486678",1.32522320622759
"41_05:486679",1.32115633136281
"41_06:486680",1.26025323117953
"42_01:486681",1.13681388479496
"42_02a:486682",1.29504230130392
"42_03:486683",1.08985935630152
"42_05a:486684",1.33286944078326
"42_06a:486685",1.33337582362499
"43_01:486686",1.26680232072974
"43_02:486687",1.29119674758069
"43_03:486688",1.31905043887524
"43_05:486689",1.25707460142908
"43_06:486690",1.32981149993212
"44_01:486691",1.26177387031074
"44_02:486692",1.24119777210984
"44_03:486693",1.2267000358687
"44_04:486694",1.33530509814427
"44_05:486695",1.28496199896174
"45_01:486696",1.28241014145538
"45_02:486697",1.25910861518781
"45_03:486698",1.28009439157092
"45_06:486700",1.32494448426226
"46_02:486701",1.29277741157605
"46_03:486702",1.15257960245355
"46_04:486703",1.16548350066628
"46_05:486704",1.28845419350193
"46_06:486705",1.39425166722649
"47_02:486706",1.24337377820707
"47_03:486707",1.2562361160282
"47_04:486708",1.23537948338908
"47_05:486709",1.2546365068066
"48_01:486710",1.30628437429607
"48_02:486711",1.21270472276078
"48_03:486712",1.30124698162592
"48_04:486713",1.2354647576281
"48_05:486714",1.17636434662474
"48_06:486715",1.35538765532523
"49_01:486716",1.22589468028469
"49_02:486717",1.26269785331922
"49_03:486718",1.26326585328594
"49_04:486719",1.27822023412175
"49_05a:486720",1.29794856786624
"49_06:486721",1.24533822371655
"5_01:486503",1.33180749681732
"5_02:486504",1.33510316159386
"5_03:486505",1.32434737140219
"5_04a:486506",1.30134038831802
"5_05:486508",1.19093755409809
"5_06:486509",1.34846877138918
"50_01:486722",1.31319422020835
"50_02:486723",1.27817735568349
"50_03:486724",1.26042438288752
"50_04:486725",1.27345358563248
"50_06:486726",1.23615848715432
"51_01:486727",1.23675929064826
"51_03:486728",1.3272309125269
"51_04a:486729",1.27209846739194
"51_05:486730",1.35028136304203
"51_06:486731",1.19722598034175
"52_03:486733",1.28161109517693
"52_06:486735",1.26843073681906
"53_01:486736",1.24505972596973
"53_02:486737",1.29572311537576
"53_03:486738",1.31732476538416
"53_04:486739",1.2914176984096
"53_06:486740",1.26628960680217
"54_01:486742",1.27914630570179
"54_02:486743",1.26374550732155
"54_04:486744",1.294156889972
"54_05:486745",1.34323092825607
"55_01:486747",1.20016766210885
"55_02:486748",1.31316764596956
"55_04:486749",1.21198164660219
"55_05:486750",1.25790693046178
"55_06:486751",1.34818193815822
"56_01:486752",1.31014784004571
"56_03:486753",1.23293167338221
"56_04:486754",1.35833011693709
"56_05:486755",1.27768611907656
"56_06:486756",1.21460160127634
"57_01:486757",1.24990614415437
"57_03a:486758",1.29727386559149
"57_04:486759",1.37881342848827
"57_05:486760",1.22913592274353
"57_06:486761",1.31635064617517
"58_01:486762",1.28196434515096
"58_03:486763",1.33340043649998
"58_04:486764",1.28655904385398
"58_05:486765",1.26883822571939
"58_06a:486766",1.30303173877426
"59_01:486767",1.31326426476551
"59_03:486768",1.37686823705512
"59_04:486769",1.18817167773243
"59_05:486770",1.27829699226441
"59_06:486771",1.2670216152692
"6_01:486510",1.30058034488707
"6_04:486513",1.27201027581523
"6_05a:486514",1.27058655204253
"60_01:486772",1.34819944224229
"60_02:486773",1.3004176319413
"60_04:486774",1.24645138506752
"60_05:486775",1.31144992783508
"60_06:486776",1.34525786810337
"61_01:486777",1.24660252910516
"61_02a:486778",1.26476333263471
"7_01a:486515",1.31460436931808
"7_02a:486516",1.39961298603108
"7_03:486517",1.30315073948536
"7_04:486518",1.2416387212758
"7_06:486520",1.29872075502387
"8_01:486521",1.38008379446698
"8_02:486522",1.30142446244451
"8_03:486523",1.2647335771818
"8_04:486524",1.29000580194882
"8_05:486525",1.30235126548455
"8_06:486526",1.2363771620597
"9_01:486527",1.29334675138567
"9_03a:486528",1.35256929277037
"9_04:486529",1.29533870377874
"9_05:486530",1.29214589855065
"9_06:486531",1.2655776820938
"B01:486779",1.28909556811933
"B07:486780",1.2062805518781
"B12:486781",1.21724204858667
"B25:486782",1.35000238696192
"B26:486783",1.41058444781103
"B28:486784",1.35387704899484
"B30:486785",1.21299666420809
"B46:486786",1.21328416828149
"B50:486787",1.26032832194876
"D93:486788",1.191424909347
