"","value"
"10_01:486532",77.1624513342465
"10_02:486533",77.8325418495572
"10_03a:486534",79.2967333552991
"10_05:486536",80.076869205286
"11_01:486537",78.9462127030555
"11_02:486538",80.4651885922481
"11_04:486540",79.513445724592
"11_05:486541",80.9041972426736
"11_06:486542",77.7427543513187
"12_01:486543",76.1314936265745
"12_04:486544",78.3863793632065
"12_05:486545",79.1545379746438
"12_06:486546",78.6226480659319
"13_01:486547",78.0498245864822
"13_03:486549",79.1211316081283
"13_04:486550",80.2894021600732
"13_05:486551",84.8075913616945
"13_06:486552",81.577729514245
"14_01:486553",75.9442788910471
"14_02:486554",82.4116019235145
"14_03:486555",80.1411883092319
"14_04:486556",79.646263682638
"14_06:486558",79.9698969003068
"15_01a:486559",79.8685560467542
"15_03:486560",79.4925229364147
"15_04:486561",78.7682287616005
"15_05:486562",78.8795774778827
"15_06:486563",81.586391987682
"16_02:486564",79.6411428924308
"16_03a:486565",77.4639215033631
"16_05:486567",80.4495850743087
"17_01:486568",80.1816856451887
"17_05a:486570",79.2078102116732
"18_01:486571",81.4926726848315
"18_02a:486572",78.3051842339516
"18_03a:486573",78.9092520457839
"18_04:486574",79.0303906154537
"18_05:486575",79.710578545794
"19_05:486576",79.8998520461214
"19_06:486577",77.5418754250602
"20_01:486578",81.5630819806127
"20_02a:486579",79.4995778673767
"20_03:486580",75.3812117178232
"20_04:486581",78.6774556530867
"20_06:486582",81.6699165506381
"21_02a:486583",82.725232915918
"21_04:486584",80.0197448693352
"21_05:486585",81.8637830521217
"22_01:486587",78.556727208435
"22_02:486588",79.7789897024954
"22_04:486590",80.2195285687191
"22_06:486591",79.5768426937762
"23_01:486592",78.7354328973706
"23_03:486593",76.1124590447043
"24_02a:486594",79.4409482410769
"24_04:486595",82.4208435810047
"24_05:486596",80.0910986686417
"25_01a:486597",79.1031201999804
"25_02:486598",78.140059736751
"25_03:486599",77.855706216671
"25_04:486600",78.5881442840196
"25_06:486601",79.0648095844206
"26_01a:486602",77.6022184210804
"26_02:486603",79.2781711733214
"26_04:486604",80.7213682527425
"26_05:486605",78.4221477376489
"26_06:486606",79.766415821603
"27_01:486607",82.957897499577
"27_02:486608",76.4917775605861
"27_04:486609",79.1466844657123
"27_06:486610",80.1902080580693
"28_01:486611",79.9397810495938
"28_02:486612",76.7450690395922
"28_03:486613",79.1733611194078
"28_04:486614",78.3413915060903
"28_05:486615",79.3555961683279
"29_01:486616",81.0462463810637
"29_02a:486619",80.0767351703852
"29_03:486620",77.1134486810544
"29_04:486621",80.49727469787
"29_05:486617",78.8130182824763
"29_06:486618",75.8930175811742
"30_01a:486622",77.4987249318949
"30_02a:486623",80.0392944354965
"30_03:486624",80.581353428907
"30_05:486625",79.7041012878403
"30_06:486626",78.2193036877496
"31_01:486627",81.4644800850412
"31_02:486628",81.9239375549837
"31_03:486629",79.5661763572522
"31_04:486630",80.3806574137369
"31_05:486631",78.5777157080873
"31_06a:486632",79.0568387241004
"32_01:486633",77.8430393493349
"32_02:486634",78.1004239502438
"32_03a:486635",80.3329075365716
"32_04:486636",80.7912733407285
"33_01a:486637",81.743172198888
"33_02:486638",78.9703090244956
"33_05:486639",79.1454397461335
"33_06:486640",75.5824815199266
"34_02:486641",79.4289812087058
"34_03:486642",80.5508634421178
"34_05:486643",77.7898457883343
"34_06:486644",80.243326734653
"35_01:486645",78.1391523622417
"35_02:486646",78.1147674666561
"35_03:486647",78.6731233255835
"35_04:486648",78.554793927351
