"","value"
"10_01:486532",3.64677850194684
"10_02:486533",3.70049918042257
"10_03a:486534",3.44556947584407
"10_05:486536",2.28204340711023
"11_01:486537",3.76696513705058
"11_02:486538",2.4391383328533
"11_03a:486539",3.62646537935605
"11_04:486540",4.3569384846437
"11_05:486541",1.8525027960315
"11_06:486542",4.10270361265192
"12_01:486543",3.34623861169866
"12_04:486544",4.84504760037536
"12_05:486545",2.44419412784928
"12_06:486546",3.81198705884145
"13_01:486547",2.41391014799924
"13_03:486549",3.22817519652965
"13_04:486550",2.08022149166901
"13_05:486551",3.98838659856659
"13_06:486552",3.42667918425473
"14_01:486553",1.34709146399894
"14_02:486554",3.31418627768843
"14_03:486555",3.13681680215827
"14_04:486556",2.82636208050617
"14_06:486558",2.91192973930684
"15_01a:486559",3.39955551074753
"15_03:486560",4.22489535549113
"15_04:486561",2.66005075023698
"15_05:486562",4.05796257303526
"15_06:486563",3.36499674570081
"16_02:486564",3.49217754626166
"16_03a:486565",4.45956868804538
"16_04:486566",5.27959611245815
"16_05:486567",2.22961238913709
"17_01:486568",3.10144457407867
"17_02:486569",1.74600601627772
"17_05a:486570",1.38646636102371
"18_01:486571",2.42297435749803
"18_02a:486572",2.30137320813407
"18_03a:486573",3.51395856291158
"18_04:486574",3.9811423630856
"18_05:486575",2.99700407946259
"19_05:486576",6.40085091703772
"19_06:486577",6.42704185998967
"20_01:486578",2.84618319936334
"20_02a:486579",7.82290141760888
"20_03:486580",9.14661902244842
"20_04:486581",6.64505151964875
"20_06:486582",9.37243811432006
"21_02a:486583",3.14709379010908
"21_04:486584",5.57956923071698
"21_05:486585",6.79945931654736
"22_01:486587",3.47465726989354
"22_02:486588",7.4314764641045
"22_04:486590",8.05622384965121
"22_06:486591",5.51388068511507
"23_01:486592",5.37133116239575
"23_03:486593",9.17044131759003
"24_02a:486594",5.3698688539933
"24_04:486595",4.35055998104568
"24_05:486596",6.96981847068971
"25_01a:486597",4.04639526817306
"25_02:486598",1.75604705155222
"25_03:486599",6.72273473749977
"25_04:486600",3.87610649785535
"25_06:486601",1.43052176262972
"26_01a:486602",3.37527098825444
"26_02:486603",2.7536021759195
"26_04:486604",3.72251146946046
"26_05:486605",2.03639614157148
"26_06:486606",2.40123810260134
"27_01:486607",2.69679219052409
"27_02:486608",3.45370826885882
"27_04:486609",2.98487778157941
"27_06:486610",4.2694171083414
"28_01:486611",1.81504792538244
"28_02:486612",2.54475675097984
"28_03:486613",2.19902549467463
"28_04:486614",1.25620480704744
"28_05:486615",2.50315300945773
"29_01:486616",3.30694289378841
"29_02a:486619",3.26134999182815
"29_03:486620",2.12270401361825
"29_04:486621",3.65052439917824
"29_05:486617",3.27595482916116
"29_06:486618",1.94403796061277
"30_01a:486622",2.82595942268884
"30_02a:486623",2.57535777663359
"30_03:486624",2.92609365957865
"30_05:486625",2.44027830444891
"30_06:486626",1.81849419713369
"31_01:486627",3.21337491470141
"31_02:486628",2.13769856662866
"31_03:486629",1.72940496919482
"31_04:486630",1.40653119951899
"31_05:486631",2.20827547103681
"31_06a:486632",2.86301253372238
"32_01:486633",2.18343769972335
"32_02:486634",1.56644127474901
"32_03a:486635",3.52326546461701
"32_04:486636",3.77557474664179
"33_01a:486637",5.76261937228219
"33_02:486638",3.5904369655075
"33_05:486639",2.53418767865483
"33_06:486640",3.51749193071943
"34_02:486641",1.82354850973567
"34_03:486642",3.67948166995088
"34_05:486643",3.08529851850581
"34_06:486644",2.94599781281535
"35_01:486645",2.04953469389407
"35_02:486646",3.70760834972793
"35_03:486647",3.38184135454092
"35_04:486648",4.06925337534861
"36_01:486649",3.10783681576231
"36_02:486650",0.729666269205116
"36_03:486651",1.79157928246351
"36_04:486652",2.98429485321259
"36_06:486654",1.58768477311052
"37_01:486655",2.49395005304011
"37_03:486656",1.99402861982556
"37_04:486657",4.69203329693016
"37_05:486659",1.70882790051929
"37_06:486660",3.59553248011701
"38_01:486661",1.58982965926811
"38_02:486662",3.46994614446223
"38_03:486663",2.83054696581536
"38_04:486664",2.25968021613034
"38_05:486665",3.89678062047068
"38_06:486666",3.74172117163949
"39_02:486667",4.0393586242089
"39_03:486668",2.38534303475988
"39_04:486669",2.35734326943421
"39_05a:486670",4.46570320829182
"39_06:486671",2.82883869639514
"4_04:486501",2.49301425087614
"4_05:486502",4.35031334633017
"40_01:486672",2.78598942025722
"40_03:486673",3.14459673362496
"40_04:486674",0.801044817419946
"40_06:486676",4.31576026755419
"41_01:486677",3.44537818061459
"41_02:486678",2.9282914670154
"41_05:486679",3.90603387679601
"41_06:486680",3.29325868532744
"42_01:486681",1.15625013677726
"42_02a:486682",2.86148231517034
"42_03:486683",1.24356581726993
"42_05a:486684",5.12522952688981
"42_06a:486685",3.39246376628632
"43_01:486686",2.26147673168831
"43_02:486687",3.47165546704306
"43_03:486688",1.83276235357154
"43_05:486689",2.1873653316749
"43_06:486690",2.98560970207886
"44_01:486691",2.66024560233034
"44_02:486692",1.5791486040866
"44_03:486693",2.27413923714606
"44_04:486694",3.84903032378096
"44_05:486695",3.03189750173052
"45_01:486696",2.59375092337824
"45_02:486697",3.70290018578247
"45_03:486698",2.46303259825226
"45_06:486700",4.33421440855771
"46_02:486701",1.98114502191438
"46_03:486702",0.7156736582973
"46_04:486703",1.88279412912742
"46_05:486704",2.1656167740141
"46_06:486705",2.65028056953521
"47_02:486706",3.56704224038448
"47_03:486707",1.90620229278088
"47_04:486708",1.84481152514592
"47_05:486709",2.64969287898518
"48_01:486710",3.37342051126257
"48_02:486711",1.98579000334904
"48_03:486712",1.8233062678532
"48_04:486713",1.71050802636396
"48_05:486714",3.01800896637371
"48_06:486715",2.59588561579657
"49_01:486716",1.61802778110951
"49_02:486717",3.58425702478103
"49_03:486718",2.89837430858008
"49_04:486719",2.38227367069534
"49_05a:486720",2.15373757973106
"49_06:486721",2.47872796843461
"5_01:486503",1.74332759721686
"5_02:486504",3.9001068245382
"5_03:486505",2.92399977336573
"5_04a:486506",4.21884526845875
"5_05:486508",1.69436980237143
"5_06:486509",4.26443239242025
"50_01:486722",3.46806080373712
"50_02:486723",3.03675754387966
"50_03:486724",4.16878556569517
"50_04:486725",2.82016405206791
"50_06:486726",3.13859179321225
"51_01:486727",3.74233765169012
"51_03:486728",3.50905965869206
"51_04a:486729",3.61419344683163
"51_05:486730",5.20254379929079
"51_06:486731",2.39279085127033
"52_03:486733",2.73032973706953
"52_06:486735",3.79102125301995
"53_01:486736",3.59867684009808
"53_02:486737",2.18888048599787
"53_03:486738",3.87991091816146
"53_04:486739",1.85405948078742
"53_06:486740",4.0817606216541
"54_01:486742",2.71391670679859
"54_02:486743",2.15249265053099
"54_04:486744",2.97994043308747
"54_05:486745",3.19216401437783
"55_01:486747",2.68446063658596
"55_02:486748",3.0649919341269
"55_04:486749",4.01293424471399
"55_05:486750",2.81296080365717
"55_06:486751",3.06077070062113
"56_01:486752",3.01486827075298
"56_03:486753",4.3307596723765
"56_04:486754",2.16640033609292
"56_05:486755",4.04548331905468
"56_06:486756",2.79074688503871
"57_01:486757",3.29466205043747
"57_03a:486758",2.25571385243695
"57_04:486759",3.71678540101461
"57_05:486760",3.84236112988111
"57_06:486761",4.05907893561544
"58_01:486762",2.91196285740322
"58_03:486763",2.26689055455711
"58_04:486764",2.34858192829493
"58_05:486765",2.99220440627019
"58_06a:486766",3.36346015770337
"59_01:486767",2.76624553610339
"59_03:486768",2.68877539587134
"59_04:486769",2.12313010609797
"59_05:486770",3.52880086351985
"59_06:486771",4.1105927760367
"6_01:486510",2.41948869458309
"6_04:486513",3.35816256338104
"6_05a:486514",4.76805455430869
"60_01:486772",3.62099486956359
"60_02:486773",3.06369640997431
"60_04:486774",4.88990195115004
"60_05:486775",2.87858241774189
"60_06:486776",1.72440348264299
"61_01:486777",3.92821344821148
"61_02a:486778",7.01838595518874
"7_01a:486515",3.33363415078499
"7_02a:486516",6.50388742773343
"7_03:486517",2.98258770468018
"7_04:486518",2.10568917543987
"7_06:486520",2.33559598961191
"8_01:486521",4.34290473094243
"8_02:486522",3.94064819256085
"8_03:486523",1.99561002407148
"8_04:486524",2.09298727236626
"8_05:486525",2.1629567747241
"8_06:486526",3.57128753143598
"9_01:486527",2.54080776700633
"9_03a:486528",3.55403958139953
"9_04:486529",3.69913954654022
"9_05:486530",3.52857640735684
"9_06:486531",4.20969759136427
"B01:486779",2.92828027818029
"B07:486780",2.70510037923657
"B12:486781",2.60105252307367
"B25:486782",2.62140437808321
"B26:486783",2.88653516725036
"B28:486784",1.82469936978552
"B30:486785",2.75044899393516
"B46:486786",3.82351239001182
"B50:486787",3.18282843435081
"D93:486788",2.0141242091292
