DPS,value
10_01:486532,82.99111379
10_02:486533,88.2089617
10_03a:486534,86.17260371
10_05:486536,82.43342925
11_01:486537,85.33726006
11_02:486538,88.78255841
11_03a:486539,84.69658455
11_04:486540,80.84844478
11_05:486541,85.32619109
11_06:486542,102.6228584
12_01:486543,81.2152241
12_04:486544,85.94833375
12_05:486545,82.88546313
12_06:486546,103.7629565
13_01:486547,103.4913429
13_03:486549,83.26669583
13_04:486550,88.32096405
13_05:486551,82.84831451
13_06:486552,83.31112141
14_01:486553,88.60050286
14_02:486554,103.0000765
14_03:486555,92.90831145
14_04:486556,89.05867573
14_06:486558,89.36971833
15_01a:486559,84.49538427
15_03:486560,82.84245352
15_04:486561,80.51658385
15_05:486562,91.95243408
15_06:486563,80.51658385
16_02:486564,92.78644601
16_03a:486565,88.58002256
16_04:486566,92.0167667
16_05:486567,80.38115679
17_01:486568,85.51105254
17_02:486569,85.1180954
17_05a:486570,84.79539591
18_01:486571,88.26082749
18_02a:486572,85.21966207
18_03a:486573,80.60454024
18_04:486574,85.6589519
18_05:486575,85.6092678
19_05:486576,139.7175566
19_06:486577,139.9429226
20_01:486578,133.2380551
20_02a:486579,141.8259366
20_03:486580,138.8458959
20_04:486581,122.6392231
20_06:486582,139.1300223
21_02a:486583,135.8911418
21_04:486584,129.4299713
21_05:486585,142.3523124
22_01:486587,140.1965703
22_02:486588,132.8752879
22_04:486590,130.3609493
22_06:486591,129.5070518
23_01:486592,119.4615351
23_03:486593,132.9011372
24_02a:486594,132.9448452
24_04:486595,136.3217329
24_05:486596,136.6058593
25_01a:486597,84.9330699
25_02:486598,83.00351327
25_03:486599,91.54372926
25_04:486600,82.74506382
25_06:486601,79.32056114
26_01a:486602,85.17964917
26_02:486603,82.66548252
26_04:486604,83.26566268
26_05:486605,79.46985904
26_06:486606,83.10810079
27_01:486607,95.77629256
27_02:486608,98.37509323
27_04:486609,85.72081601
27_06:486610,84.36176782
28_01:486611,82.53604563
28_02:486612,85.47276761
28_03:486613,80.18069148
