DT,value
10_01:486532,73.43519482
10_02:486533,81.94554852
10_03a:486534,81.82509286
10_05:486536,79.94088012
11_01:486537,81.05890424
11_02:486538,83.39804473
11_03a:486539,85.10226332
11_04:486540,81.04450514
11_05:486541,85.83231327
11_06:486542,96.10328587
12_01:486543,80.62154023
12_04:486544,82.95030543
12_05:486545,81.9741824
12_06:486546,98.94200458
13_01:486547,95.8062718
13_03:486549,77.17850692
13_04:486550,82.98704982
13_05:486551,80.54444306
13_06:486552,81.14350881
14_01:486553,82.74818708
14_02:486554,95.88528244
14_03:486555,92.40006467
14_04:486556,86.67444895
14_06:486558,86.37112636
15_01a:486559,85.16481086
15_03:486560,80.10030831
15_04:486561,77.77328398
15_05:486562,88.81349634
15_06:486563,81.0220345
16_02:486564,93.05550484
16_03a:486565,79.89995762
16_04:486566,84.78338742
16_05:486567,76.41457727
17_01:486568,83.13846053
17_02:486569,85.39274454
17_05a:486570,80.83180385
18_01:486571,82.30213492
18_02a:486572,85.57751546
18_03a:486573,80.79159016
18_04:486574,83.28606839
18_05:486575,81.04230484
19_05:486576,139.2777821
19_06:486577,136.2785451
20_01:486578,132.6029244
20_02a:486579,141.5970178
20_03:486580,129.6072618
20_04:486581,118.9206458
20_06:486582,135.7572946
21_02a:486583,135.5116937
21_04:486584,128.7388569
21_05:486585,135.3673387
22_01:486587,136.4100147
22_02:486588,129.3005064
22_04:486590,122.7879072
22_06:486591,125.5455204
23_01:486592,119.2720695
23_03:486593,125.759716
24_02a:486594,125.6115291
24_04:486595,132.3633224
24_05:486596,132.1805472
25_01a:486597,80.33905621
25_02:486598,83.394749
25_03:486599,91.28507203
25_04:486600,77.4943892
25_06:486601,79.01370739
26_01a:486602,80.65884263
26_02:486603,83.0109009
26_04:486604,79.794975
26_05:486605,79.59814375
26_06:486606,83.03348281
27_01:486607,89.87206878
27_02:486608,95.32349604
27_04:486609,82.29414794
27_06:486610,79.56609536
28_01:486611,81.49381564
28_02:486612,85.51307716
28_03:486613,79.94555877
28_04:486614,73.62926188
28_05:486615,80.52094043
29_01:486616,77.58541728
29_02a:486619,89.68318231
29_03:486620,81.03024284
29_04:486621,83.58698696
29_05:486617,83.97956676
29_06:486618,76.56823453
30_01a:486622,99.04519267
30_02a:486623,79.77432893
30_03:486624,76.31446239
30_05:486625,76.70031088
30_06:486626,76.02420323
31_01:486627,75.80326969
31_02:486628,80.31578854
31_03:486629,84.97847492
31_04:486630,84.51030629
31_05:486631,80.06155575
31_06a:486632,85.06229042
32_01:486633,88.50141093
32_02:486634,85.5352429
32_03a:486635,92.22228591
32_04:486636,82.92986707
33_01a:486637,98.58842235
33_02:486638,83.17270245
33_05:486639,79.15645054
33_06:486640,77.08399184
34_02:486641,84.66708755
34_03:486642,80.53634294
34_05:486643,80.06744404
34_06:486644,80.21844422
35_01:486645,78.93106498
35_02:486646,91.83704374
35_03:486647,82.00514077
35_04:486648,80.69832005
36_01:486649,80.18300602
36_02:486650,72.94354782
36_03:486651,80.36781929
36_04:486652,76.47613986
36_06:486654,77.15768149
37_01:486655,80.0802058
37_03:486656,78.61585931
37_04:486657,82.0801532
37_05:486659,82.67493678
37_06:486660,76.69365647
38_01:486661,85.80873287
38_02:486662,82.27525758
38_03:486663,85.84122587
38_04:486664,92.5893073
38_05:486665,88.12084394
38_06:486666,82.71498835
39_02:486667,85.43147506
39_03:486668,85.40607431
39_04:486669,82.6509423
39_05a:486670,86.67212089
39_06:486671,79.97072213
4_04:486501,82.66572608
4_05:486502,80.48964944
40_01:486672,82.96465132
40_03:486673,80.6100374
40_04:486674,84.82036889
40_06:486676,88.8530946
41_01:486677,96.17555042
41_02:486678,88.03745941
41_05:486679,80.99028469
41_06:486680,83.31640042
42_01:486681,76.98525564
42_02a:486682,70.32358368
42_03:486683,85.38705332
42_05a:486684,83.50851401
42_06a:486685,88.86193833
43_01:486686,85.10804231
43_02:486687,80.33084705
43_03:486688,79.10351342
43_05:486689,76.57971361
43_06:486690,79.22047987
44_01:486691,80.05454521
44_02:486692,76.88402595
44_03:486693,80.61223565
