GTNP,value
10_01:486532,2.154602412
10_02:486533,2.049544657
10_03a:486534,2.199911894
10_05:486536,2.077128543
11_01:486537,2.089577291
11_02:486538,2.122667059
11_04:486540,2.116037919
11_05:486541,2.347946201
11_06:486542,2.430972302
12_01:486543,2.113804489
12_04:486544,2.145622686
12_05:486545,2.065037025
12_06:486546,2.252034451
13_01:486547,2.187068447
13_03:486549,1.939430287
13_04:486550,2.155126593
13_05:486551,1.956529702
13_06:486552,2.141359805
14_01:486553,2.155939966
14_03:486555,2.083012118
14_04:486556,2.205868277
14_06:486558,2.135195979
15_03:486560,2.132746035
15_04:486561,2.233536083
15_05:486562,2.113324934
15_06:486563,2.079717669
16_02:486564,2.160460536
16_03a:486565,2.224840037
16_05:486567,2.095768566
17_01:486568,2.169796974
17_02:486569,2.087790729
17_05a:486570,2.065144742
18_01:486571,2.083719511
18_02a:486572,2.14652445
18_03a:486573,2.204272009
18_04:486574,2.28650606
18_05:486575,2.069546002
19_05:486576,2.344762158
20_01:486578,2.107168175
20_03:486580,2.091938738
20_04:486581,2.19514581
20_06:486582,2.440701706
21_05:486585,2.336223941
22_02:486588,2.280221308
22_06:486591,2.198037703
23_03:486593,2.157507744
24_02a:486594,2.273831374
24_05:486596,2.065617649
25_01a:486597,2.089425593
25_02:486598,2.174984509
25_03:486599,2.235702138
25_06:486601,2.305987998
26_01a:486602,2.254156264
26_02:486603,2.65866387
26_04:486604,2.116205935
26_05:486605,2.100892306
26_06:486606,2.072622257
27_01:486607,2.137489799
27_04:486609,2.159494746
27_06:486610,2.312837522
28_01:486611,2.27667247
28_02:486612,2.053724618
28_03:486613,2.07804309
28_04:486614,2.181124355
28_05:486615,2.458976402
29_01:486616,2.248634156
29_02a:486619,2.279787646
29_03:486620,2.109301853
29_04:486621,2.293102688
29_05:486617,2.456921802
29_06:486618,2.102046691
30_01a:486622,2.146806031
30_02a:486623,2.217309016
30_03:486624,2.386625712
30_05:486625,2.152691261
30_06:486626,2.115339073
31_01:486627,2.247002641
31_02:486628,2.203525919
31_03:486629,2.153928994
31_04:486630,2.25576998
31_05:486631,2.320958875
32_01:486633,2.090359641
32_02:486634,2.076389468
