PTN,value
10_01:486532,2.716438909
10_02:486533,2.287618973
10_03a:486534,2.815058223
10_05:486536,2.211143525
11_01:486537,2.390937515
11_02:486538,2.526175714
11_03a:486539,2.444883261
11_04:486540,2.504533148
11_05:486541,2.052938822
11_06:486542,2.955172282
12_01:486543,2.567926767
12_04:486544,2.157848838
12_05:486545,2.123383241
12_06:486546,2.51648252
13_01:486547,2.388398692
13_03:486549,2.354985776
13_04:486550,2.170886052
13_05:486551,1.967732517
13_06:486552,1.657660992
14_01:486553,2.40119288
14_02:486554,1.939367362
14_03:486555,2.146253952
14_04:486556,3.026823626
14_06:486558,2.110204149
15_01a:486559,2.271626662
15_03:486560,2.778424656
15_04:486561,2.234559574
15_05:486562,2.21242266
15_06:486563,2.259761079
16_02:486564,2.740175422
16_03a:486565,2.258141917
16_04:486566,2.673855923
16_05:486567,2.292746438
17_01:486568,2.391106556
17_02:486569,3.562776628
17_05a:486570,1.807838236
18_01:486571,2.161327288
18_02a:486572,2.063526837
18_03a:486573,1.952176105
18_04:486574,2.30360563
18_05:486575,2.197780385
19_05:486576,2.894220933
19_06:486577,2.505746907
20_01:486578,1.905582251
20_02a:486579,3.13558645
20_03:486580,3.560943781
20_04:486581,2.974756695
20_06:486582,2.928978008
21_02a:486583,2.445188221
21_04:486584,3.211902195
21_05:486585,2.282978756
22_01:486587,2.402021956
22_02:486588,2.803610946
22_04:486590,3.491649868
22_06:486591,3.368795236
23_01:486592,3.05557572
23_03:486593,6.215232748
24_02a:486594,4.640924545
24_04:486595,2.792902097
24_05:486596,2.499207035
25_01a:486597,3.102007346
25_02:486598,2.578087144
25_03:486599,2.577492539
25_04:486600,3.2649228
25_06:486601,2.279028078
26_01a:486602,2.936208002
26_02:486603,2.505096191
26_04:486604,3.319167377
26_05:486605,1.98135115
26_06:486606,2.550602086
27_01:486607,2.009433447
27_02:486608,2.251755841
27_04:486609,2.373921978
27_06:486610,2.962217366
28_01:486611,2.522543229
28_02:486612,2.428972036
28_03:486613,2.082107449
28_04:486614,1.898732909
28_05:486615,2.533911742
29_01:486616,2.773630086
29_02a:486619,2.791699381
29_03:486620,2.162636899
29_04:486621,2.847769595
29_05:486617,2.67933978
29_06:486618,2.42187693
30_01a:486622,3.118538394
30_02a:486623,2.521152854
30_03:486624,3.36456668
30_05:486625,2.436048197
30_06:486626,2.120903076
31_01:486627,2.871003436
31_02:486628,2.494586201
31_03:486629,2.515597042
31_04:486630,2.356643456
31_05:486631,2.386057039
31_06a:486632,1.742076603
32_01:486633,2.788982286
32_02:486634,2.181185266
32_03a:486635,2.557191599
32_04:486636,3.376416212
33_02:486638,2.87655064
33_05:486639,2.536626745
33_06:486640,3.438851917
34_02:486641,2.137419585
34_03:486642,2.308025889
34_05:486643,2.742995523
34_06:486644,2.572727368
35_01:486645,2.075230841
35_02:486646,2.9663233
35_03:486647,2.045816994
35_04:486648,2.482126958
36_01:486649,2.53196498
36_02:486650,2.001255818
36_03:486651,2.747250449
36_04:486652,2.588500135
36_06:486654,1.849990445
37_01:486655,3.065886778
37_03:486656,2.803647595
37_04:486657,3.24160751
37_05:486659,2.288192443
37_06:486660,2.655041582
38_01:486661,2.041869594
38_02:486662,2.728704895
38_03:486663,2.722368871
38_04:486664,2.351516803
38_05:486665,3.314918046
38_06:486666,2.522462373
39_02:486667,2.96067634
39_03:486668,2.235209389
39_04:486669,2.385854485
39_05a:486670,3.221054427
39_06:486671,2.294165887
4_04:486501,2.579637867
4_05:486502,2.317199551
40_01:486672,3.004020835
40_03:486673,2.614002102
40_04:486674,2.096412472
40_06:486676,2.886477031
41_01:486677,2.881511654
41_02:486678,2.136156816
41_05:486679,2.584904144
41_06:486680,3.236529071
42_01:486681,1.977666064
42_02a:486682,2.82827422
42_03:486683,1.779698865
42_05a:486684,3.234881708
42_06a:486685,1.783439094
43_01:486686,2.45031982
43_02:486687,2.86263456
43_03:486688,2.625278723
43_05:486689,2.129010372
43_06:486690,2.786688215
44_01:486691,2.22805563
44_02:486692,2.280856728
44_03:486693,2.815271509
44_04:486694,2.923561955
44_05:486695,2.45254659
45_01:486696,2.621876729
45_02:486697,2.087962825
45_03:486698,2.834204646
45_06:486700,2.654106667
46_02:486701,2.449867004
46_03:486702,1.779290552
46_04:486703,1.876122408
46_05:486704,1.893633684
46_06:486705,3.285025687
47_02:486706,2.126379205
47_03:486707,2.605755521
47_04:486708,2.047038732
47_05:486709,1.969440175
48_01:486710,2.719900607
48_02:486711,2.294184575
48_03:486712,2.161347842
48_04:486713,2.516830359
48_05:486714,2.93567676
48_06:486715,2.866225243
49_01:486716,2.241507151
49_02:486717,2.766554106
49_03:486718,2.582722222
49_04:486719,2.383990864
49_05a:486720,2.400201363
49_06:486721,2.176263988
5_01:486503,2.099918494
5_02:486504,2.905708115
5_03:486505,2.299653315
5_04a:486506,2.757285783
5_05:486508,2.21440163
5_06:486509,2.472478462
50_01:486722,2.49719514
50_02:486723,2.416475737
50_03:486724,2.426098805
50_04:486725,2.785556347
50_06:486726,2.549609739
51_01:486727,2.245565072
51_03:486728,2.763210265
51_04a:486729,3.025159095
51_05:486730,3.348739642
51_06:486731,1.933365154
52_03:486733,2.512506398
52_06:486735,2.923440247
53_01:486736,2.713312867
53_02:486737,2.036654469
53_03:486738,3.823697515
53_04:486739,2.50034552
53_06:486740,2.823814049
54_01:486742,2.769286788
54_02:486743,2.422595044
54_04:486744,2.947093052
54_05:486745,2.644783336
55_01:486747,2.540419446
55_02:486748,3.074740345
55_04:486749,2.568834
55_05:486750,2.284367458
55_06:486751,2.271208332
56_01:486752,3.330416726
56_03:486753,3.056855615
56_04:486754,2.442346947
56_05:486755,3.074331455
56_06:486756,2.24470341
57_01:486757,2.176582012
57_03a:486758,2.404767111
57_04:486759,2.311154421
57_05:486760,2.461041463
57_06:486761,2.761522197
58_01:486762,2.356731421
58_03:486763,2.710111193
58_04:486764,2.583133098
58_05:486765,2.481843656
58_06a:486766,2.584544538
59_01:486767,2.937051734
59_03:486768,2.561761933
59_04:486769,2.074292789
59_05:486770,2.272751252
59_06:486771,3.001656592
6_01:486510,2.426222071
6_04:486513,2.356397851
6_05a:486514,2.830102159
60_01:486772,2.84090115
60_02:486773,2.125982786
60_04:486774,3.187931425
60_05:486775,2.092932832
60_06:486776,2.277885754
61_01:486777,2.253794124
61_02a:486778,3.323022653
7_01a:486515,2.394083359
7_02a:486516,2.449266427
7_03:486517,2.641192896
7_04:486518,2.271324635
7_06:486520,2.115908368
8_01:486521,2.653390196
8_02:486522,2.427376701
8_03:486523,2.306934801
8_04:486524,2.290874792
8_05:486525,2.483172161
8_06:486526,2.131352747
9_01:486527,2.69166872
9_03a:486528,2.954965335
9_04:486529,2.716291341
9_05:486530,2.260922078
9_06:486531,3.024632049
B01:486779,2.54662517
B07:486780,1.763545627
B12:486781,2.288270636
B25:486782,2.561132197
B26:486783,2.094470269
B28:486784,2.229331029
B30:486785,2.136340616
B46:486786,2.309289664
B50:486787,2.022779515
D93:486788,1.905373529
