SC,value
10_01:486532,12.07449335
10_02:486533,4.749127442
10_03a:486534,11.01836262
10_05:486536,7.892000883
11_01:486537,4.550047031
11_02:486538,11.35381813
11_03a:486539,3.930669254
11_04:486540,13.14846304
11_05:486541,12.75513762
11_06:486542,4.500458515
12_01:486543,12.98343384
12_04:486544,13.35945275
12_05:486545,13.08084887
12_06:486546,2.10450181
13_01:486547,6.512915414
13_03:486549,11.71394023
13_04:486550,13.08003302
13_05:486551,10.97383869
13_06:486552,13.53257541
14_01:486553,11.71615907
14_02:486554,7.77281435
14_03:486555,6.016615106
14_04:486556,6.583782173
14_06:486558,12.99145111
15_01a:486559,8.549849518
15_03:486560,8.330766758
15_04:486561,11.71638953
15_05:486562,5.830887931
15_06:486563,12.15453895
16_02:486564,11.84374275
16_03a:486565,7.441035076
16_04:486566,9.175597572
16_05:486567,9.389145854
17_01:486568,13.02729208
17_02:486569,3.225534356
17_05a:486570,9.215757574
18_01:486571,10.90392487
18_02a:486572,13.08939517
18_03a:486573,11.52972994
18_04:486574,6.006749895
18_05:486575,14.0773767
19_05:486576,7.018522729
19_06:486577,2.329792408
20_01:486578,7.78263635
20_02a:486579,2.175036298
20_03:486580,2.588622526
20_04:486581,6.030038696
20_06:486582,6.866181841
21_02a:486583,2.187101776
21_04:486584,3.087963789
21_05:486585,9.074368798
22_01:486587,5.227874873
22_02:486588,5.193263565
22_04:486590,4.009728551
22_06:486591,8.235576312
23_01:486592,6.893989889
23_03:486593,3.826943995
24_02a:486594,3.387700512
24_04:486595,7.892318241
24_05:486596,7.788383421
25_01a:486597,8.629898507
25_02:486598,11.72956291
25_03:486599,3.119186436
25_04:486600,8.687587326
25_06:486601,13.04982643
26_01a:486602,8.027751984
26_02:486603,12.6107704
26_04:486604,6.000217695
26_05:486605,13.4414766
26_06:486606,11.67935614
27_01:486607,12.62153674
27_02:486608,10.52296283
27_04:486609,9.148160322
27_06:486610,11.72644247
28_01:486611,12.66629376
28_02:486612,7.749877687
28_03:486613,13.64348635
28_04:486614,11.31322389
28_05:486615,12.67141909
29_01:486616,11.61354056
29_02a:486619,2.487465336
29_03:486620,12.64414329
29_04:486621,9.10942827
29_05:486617,12.98567762
29_06:486618,13.45047476
30_01a:486622,9.106384658
30_02a:486623,12.18724614
30_03:486624,9.754217016
30_05:486625,11.74909672
30_06:486626,8.304347533
31_01:486627,13.09869564
31_02:486628,13.01874536
31_03:486629,13.53202446
31_04:486630,13.07015327
31_05:486631,14.39003696
31_06a:486632,9.593500334
32_01:486633,12.17786652
32_02:486634,13.84357705
32_03a:486635,3.712566808
32_04:486636,8.953808695
33_01a:486637,4.568712357
33_02:486638,9.114963517
33_05:486639,13.5389016
33_06:486640,9.171806881
34_02:486641,13.18019891
34_03:486642,13.98223603
34_05:486643,12.9949686
34_06:486644,11.68052036
35_01:486645,12.18505806
35_02:486646,10.35932696
35_03:486647,11.83078712
35_04:486648,10.84834614
36_01:486649,10.33700454
36_02:486650,13.45746397
36_03:486651,11.67114411
36_04:486652,13.48569623
36_06:486654,14.37421044
37_01:486655,10.38549857
37_03:486656,10.83317078
37_04:486657,10.94904089
37_05:486659,11.71675073
37_06:486660,8.711738126
38_01:486661,12.15460768
38_02:486662,9.142987343
38_03:486663,12.18338551
38_04:486664,9.529418724
38_05:486665,13.11456432
38_06:486666,11.28032087
39_02:486667,10.02740704
39_03:486668,11.02437496
39_04:486669,9.696111139
39_05a:486670,8.712958802
39_06:486671,12.36834291
4_04:486501,12.48379442
4_05:486502,9.934327081
40_01:486672,14.32754737
40_03:486673,12.57984913
40_04:486674,13.87460604
40_05a:486675,4.673468361
40_06:486676,10.86609902
41_01:486677,13.11638899
41_02:486678,7.883044152
41_05:486679,10.14330471
41_06:486680,13.56161289
42_01:486681,13.69075075
42_02a:486682,8.749421816
42_03:486683,12.31146049
42_05a:486684,4.443057369
42_06a:486685,10.11527797
43_01:486686,13.49176908
43_02:486687,13.83774534
43_03:486688,13.01771352
43_05:486689,12.56519912
43_06:486690,5.97069424
44_01:486691,13.0225373
44_02:486692,11.39447249
44_03:486693,12.99075083
44_04:486694,11.35381813
44_05:486695,12.19810981
45_01:486696,11.24887134
45_02:486697,9.538175711
45_03:486698,13.3033251
45_06:486700,10.90289509
46_02:486701,14.20452016
46_03:486702,12.11023549
46_04:486703,13.44840551
46_05:486704,12.57210668
46_06:486705,8.551936766
47_02:486706,10.01380298
47_03:486707,13.93835226
47_04:486708,5.767817297
47_05:486709,9.203045252
48_01:486710,12.33450636
48_02:486711,12.7906516
48_03:486712,13.23888414
48_04:486713,11.30809116
48_05:486714,11.86785353
48_06:486715,11.86785353
49_01:486716,12.32659843
49_02:486717,8.340444507
49_03:486718,5.199391897
49_04:486719,13.18378226
49_05a:486720,11.7530527
49_06:486721,10.07717349
5_01:486503,13.83649554
5_02:486504,10.39343074
5_03:486505,10.91565284
5_04a:486506,4.371986483
5_05:486508,11.04512843
5_06:486509,12.24344342
50_01:486722,11.450052
50_02:486723,12.26636024
50_03:486724,11.88820141
50_04:486725,9.305227038
50_06:486726,10.5988912
51_01:486727,11.70147335
51_03:486728,8.732128374
51_04a:486729,10.06851485
51_05:486730,8.268948655
51_06:486731,7.330751183
52_03:486733,11.59900125
52_06:486735,5.055931424
53_01:486736,13.8388033
53_02:486737,10.76797464
53_03:486738,5.575863085
53_04:486739,12.07543367
53_06:486740,6.039042805
54_01:486742,9.820033776
54_02:486743,9.820033776
54_04:486744,12.86868027
54_05:486745,2.382265718
55_01:486747,10.39212928
55_02:486748,6.968279831
55_04:486749,10.49425922
55_05:486750,6.973862927
55_06:486751,10.91162455
56_01:486752,9.559594937
56_03:486753,9.070296694
56_04:486754,11.31219259
56_05:486755,6.970261336
56_06:486756,7.815839039
57_01:486757,13.07419922
57_03a:486758,7.703399901
57_04:486759,11.32160157
57_05:486760,10.43012738
57_06:486761,10.48553403
58_01:486762,9.978058416
58_03:486763,7.770799889
58_04:486764,12.95269819
58_05:486765,6.027686777
58_06a:486766,8.681721285
59_01:486767,8.644602891
59_03:486768,13.97829052
59_04:486769,8.28234814
59_05:486770,10.47309521
59_06:486771,8.291832681
6_01:486510,14.01447179
6_04:486513,6.437089845
6_05a:486514,6.437089845
60_01:486772,13.40728291
60_02:486773,11.65846802
60_04:486774,4.271826632
60_05:486775,9.987216216
60_06:486776,11.19114722
61_01:486777,11.37914871
61_02a:486778,4.614888758
7_01a:486515,8.403800697
7_02a:486516,9.183633314
7_03:486517,13.03279808
7_04:486518,11.83333359
7_06:486520,9.254025623
8_01:486521,6.140400878
8_02:486522,10.48273881
8_03:486523,8.760572173
8_04:486524,11.83634325
8_05:486525,12.65412078
8_06:486526,13.44840551
9_01:486527,12.63039901
9_03a:486528,3.622926003
9_04:486529,6.551226922
9_05:486530,10.87780135
9_06:486531,9.174999807
B01:486779,14.13422006
B07:486780,13.0038871
B12:486781,11.99072531
B25:486782,6.410432352
B26:486783,10.59426296
B28:486784,12.52648898
B30:486785,13.06205343
B46:486786,12.55741199
B50:486787,9.91562766
D93:486788,14.32770199
