15NT2,value
10_01:486532,83.36496228
10_02:486533,84.93641395
10_03a:486534,88.17015626
10_05:486536,88.01135758
11_02:486538,90.68149443
11_04:486540,89.63327959
11_05:486541,90.70123889
11_06:486542,89.09760248
12_01:486543,85.49958697
12_04:486544,88.15211343
12_05:486545,89.15387439
12_06:486546,91.34080796
13_01:486547,90.59627274
13_03:486549,91.78049032
13_04:486550,91.31609639
13_05:486551,94.4423258
13_06:486552,95.31860595
14_01:486553,84.26916762
14_02:486554,93.73340312
14_03:486555,94.32706355
14_04:486556,91.21906569
14_06:486558,87.61768754
15_01a:486559,94.71686703
15_03:486560,87.13322865
15_04:486561,85.88350716
15_05:486562,88.92244708
15_06:486563,90.90552135
16_02:486564,90.43825987
16_03a:486565,84.76985609
16_04:486566,90.35379561
16_05:486567,93.50485768
17_01:486568,90.14953887
17_02:486569,89.87442848
17_05a:486570,91.71694051
18_01:486571,95.20750332
18_02a:486572,87.47221262
18_03a:486573,90.78860808
18_04:486574,93.68585788
18_05:486575,86.5940534
19_05:486576,95.22881718
20_01:486578,91.85519019
20_02a:486579,88.83718759
20_03:486580,88.6511981
20_04:486581,89.97894003
20_06:486582,100.1224935
21_05:486585,91.66784016
22_01:486587,90.71155012
22_02:486588,92.75296167
22_04:486590,90.94046437
22_06:486591,94.56756874
23_01:486592,92.52281683
23_03:486593,89.34694418
24_02a:486594,86.95830188
24_05:486596,90.38466039
25_01a:486597,91.03243908
25_02:486598,86.85008974
25_03:486599,88.32554228
25_04:486600,90.88258248
25_06:486601,89.68411299
26_01a:486602,83.72559309
26_02:486603,91.76385693
26_04:486604,92.57951214
26_05:486605,90.69197932
26_06:486606,91.14584612
27_01:486607,92.0598544
27_02:486608,88.47380766
27_04:486609,90.3471084
27_06:486610,92.79621017
28_01:486611,91.59536379
28_02:486612,89.3429125
28_03:486613,85.91723885
28_04:486614,85.4427393
28_05:486615,86.61113669
29_01:486616,95.21490379
29_02a:486619,85.46240148
29_03:486620,87.9379623
29_04:486621,90.95803132
29_05:486617,89.31816746
29_06:486618,84.86000822
30_01a:486622,89.14226177
30_02a:486623,91.01099238
30_03:486624,92.08259788
30_05:486625,92.04329895
30_06:486626,85.22284788
31_01:486627,89.26112008
31_02:486628,91.68676676
31_03:486629,88.74489504
31_04:486630,92.00351343
31_05:486631,88.09805977
31_06a:486632,90.45809216
32_01:486633,85.66845821
32_02:486634,89.49985001
32_03a:486635,91.77692633
32_04:486636,93.33675774
33_01a:486637,90.63617919
33_02:486638,87.99267872
33_05:486639,91.56750203
33_06:486640,81.61816006
34_02:486641,87.77563439
34_03:486642,90.03831673
34_05:486643,92.54557304
34_06:486644,86.51824944
35_01:486645,87.30331046
35_02:486646,91.82299306
35_03:486647,90.69552519
35_04:486648,91.4530552
36_01:486649,89.33133868
36_02:486650,87.67471427
36_03:486651,92.85385042
36_04:486652,86.79547404
36_06:486654,88.6550496
37_01:486655,89.50050995
37_03:486656,94.54186774
37_04:486657,90.12430888
37_05:486659,87.13639888
37_06:486660,86.52552828
38_01:486661,94.2934893
38_02:486662,89.85901802
38_03:486663,85.34349756
38_04:486664,86.93923355
38_05:486665,88.35367039
38_06:486666,87.31686147
39_02:486667,90.83798546
39_03:486668,86.41598245
39_04:486669,93.37737919
39_05a:486670,89.02443471
39_06:486671,88.17852024
4_04:486501,89.79076191
4_05:486502,96.86205496
40_01:486672,86.40481622
40_03:486673,85.02545697
40_04:486674,93.19524613
40_06:486676,85.79352796
41_01:486677,92.41969614
41_02:486678,87.12832029
41_05:486679,89.76073032
41_06:486680,93.18780033
42_01:486681,89.30363135
42_02a:486682,98.40145857
42_03:486683,88.88839408
42_05a:486684,91.9865167
42_06a:486685,88.90070188
43_01:486686,92.31115511
43_02:486687,98.38146198
43_03:486688,94.4150291
43_05:486689,87.16672812
43_06:486690,84.5428367
44_01:486691,87.14764546
44_02:486692,92.26508673
44_03:486693,90.03100618
44_04:486694,91.40871534
44_05:486695,93.19085471
45_01:486696,87.4809937
45_02:486697,94.94549463
45_03:486698,95.82584898
45_06:486700,84.272759
46_02:486701,93.46422656
46_03:486702,92.18315897
46_04:486703,90.23358723
46_05:486704,93.03712004
46_06:486705,89.04288876
47_02:486706,96.86353466
47_03:486707,94.05216319
47_04:486708,85.41049606
47_05:486709,87.25865399
48_01:486710,100.3790031
48_02:486711,90.28184351
48_03:486712,88.89709066
48_04:486713,96.32978231
48_05:486714,90.86657417
48_06:486715,90.14750607
49_01:486716,89.92898703
49_02:486717,93.31782384
49_03:486718,94.81464776
49_04:486719,90.99897543
49_05a:486720,88.95600268
49_06:486721,88.17079308
5_01:486503,92.02050116
5_02:486504,95.07977225
5_03:486505,88.66278152
5_04a:486506,88.32564313
5_05:486508,82.71248684
5_06:486509,87.64919069
50_01:486722,94.57058512
50_02:486723,90.43939049
50_03:486724,86.59258642
50_04:486725,86.57895251
50_06:486726,87.68461929
51_01:486727,86.56545326
51_03:486728,88.81354847
51_04a:486729,90.75308097
51_05:486730,95.38386163
51_06:486731,89.5304432
52_03:486733,90.7212794
52_06:486735,92.55537909
53_01:486736,82.96989339
53_02:486737,88.35076886
53_03:486738,94.92194602
53_04:486739,87.82349736
53_06:486740,91.24452819
54_01:486742,92.89609297
54_02:486743,85.24675707
54_04:486744,87.57181149
54_05:486745,90.60619759
55_01:486747,89.54646375
55_02:486748,87.70707754
55_04:486749,85.51080056
55_05:486750,89.06318502
55_06:486751,93.30186337
56_01:486752,92.37232874
56_03:486753,96.6864623
56_04:486754,86.9886568
56_05:486755,88.00467282
56_06:486756,92.09603597
57_01:486757,93.64431668
57_03a:486758,86.64758633
57_04:486759,92.76630794
57_05:486760,92.06519402
57_06:486761,90.18033151
58_01:486762,87.64648982
58_03:486763,91.78585009
58_04:486764,91.470366
58_05:486765,91.34663065
58_06a:486766,85.4481699
59_01:486767,88.19059511
59_03:486768,89.06663064
59_04:486769,87.25351373
59_05:486770,87.99600915
59_06:486771,88.08304396
6_01:486510,92.78496133
6_03:486512,81.61950901
6_04:486513,95.19982026
6_05a:486514,93.18957109
60_01:486772,84.19034507
60_02:486773,94.49405014
60_04:486774,88.4598507
60_05:486775,92.9065421
60_06:486776,89.66878693
61_01:486777,87.39851652
61_02a:486778,90.09691745
7_03:486517,91.96952777
7_04:486518,87.97336623
7_06:486520,92.22316109
8_01:486521,89.48384926
8_02:486522,84.76358834
8_03:486523,87.04461361
8_04:486524,92.70577843
8_05:486525,91.54826783
8_06:486526,85.89105608
9_01:486527,89.77881834
9_04:486529,88.51137034
9_05:486530,92.17305827
9_06:486531,89.83901935
B01:486779,92.55076333
B07:486780,89.86451509
B12:486781,84.79313669
B25:486782,87.60422011
B26:486783,88.57077015
B28:486784,87.56883911
B30:486785,87.92398421
B46:486786,88.94913591
B50:486787,87.44234526
D93:486788,86.17432042
