"","value"
"10_01:486532",73.5134351484733
"10_02:486533",83.1419599478556
"10_03a:486534",82.1722424237916
"10_05:486536",80.249299087948
"11_01:486537",81.3695844621853
"11_02:486538",83.8052554443833
"11_03a:486539",85.7232346635993
"11_04:486540",81.3720266298677
"11_05:486541",86.1952714820017
"11_06:486542",96.5292518141152
"12_01:486543",80.7027468932206
"12_04:486544",82.9948605758516
"12_05:486545",82.1976831804008
"12_06:486546",99.2892872373467
"13_01:486547",95.4883853602566
"13_03:486549",77.2507508010307
"13_04:486550",82.8341278602984
"13_05:486551",80.0738101812807
"13_06:486552",81.0244620099166
"14_01:486553",83.2891348165237
"14_02:486554",96.4217992444659
"14_03:486555",92.2630300680691
"14_04:486556",86.2637562482071
"14_05:486557",57.9757973210977
"14_06:486558",86.2229491744045
"15_01a:486559",84.8094472210944
"15_03:486560",80.0204725405865
"15_04:486561",77.5616749007213
"15_05:486562",88.5022122885944
"15_06:486563",80.8015067267334
"16_02:486564",92.6121456671793
"16_03a:486565",79.8360959744399
"16_04:486566",84.4345010958351
"16_05:486567",76.2375531183755
"17_01:486568",82.9691362497419
"17_02:486569",85.2645045253649
"17_05a:486570",80.8333747500706
"18_01:486571",82.4574909466564
"18_02a:486572",85.305493720758
"18_03a:486573",80.4846826087253
"18_04:486574",83.1915217311998
"18_05:486575",80.7568050188321
"19_05:486576",138.911537008585
"19_06:486577",136.065836732563
"20_01:486578",132.165079189477
"20_02a:486579",140.864967847161
"20_03:486580",129.145340284595
"20_04:486581",118.765635908655
"20_06:486582",135.579229197875
"21_02a:486583",135.526279880181
"21_04:486584",128.857331366043
"21_05:486585",135.188177432607
"22_01:486587",136.18156327095
"22_02:486588",129.29200215946
"22_03:486589",59.0287191126792
"22_04:486590",122.459007921863
"22_06:486591",125.698388663581
"23_01:486592",119.432094425123
"23_03:486593",125.725389785246
"24_02a:486594",125.205608994307
"24_04:486595",131.694414565577
"24_05:486596",131.582466858118
"25_01a:486597",80.4712340599306
"25_02:486598",82.9169336707024
"25_03:486599",90.1311467511508
"25_04:486600",77.0254314862371
"25_06:486601",78.7297470743835
"26_01a:486602",80.715665193694
"26_02:486603",82.5303825396944
"26_04:486604",79.2488672337432
"26_05:486605",79.2414161677271
"26_06:486606",82.6293474112404
"27_01:486607",89.6254313386252
"27_02:486608",94.7069806812397
"27_04:486609",81.4531240880073
"27_06:486610",79.9164523803433
"28_01:486611",81.2267953172832
"28_02:486612",85.3035884724416
"28_03:486613",79.9420121495961
"28_04:486614",73.3737499018116
"28_05:486615",80.4637491930961
"29_01:486616",77.9628539071706
"29_02a:486619",89.9413981186045
"29_03:486620",80.7200823991726
"29_04:486621",83.3854130816131
"29_05:486617",83.7033481020065
"29_06:486618",76.3693123510147
"30_01a:486622",98.818164961517
"30_02a:486623",79.8188239145504
"30_03:486624",76.840586346735
"30_05:486625",76.6744687243142
"30_06:486626",76.2618003645576
"31_01:486627",75.9739001711616
"31_02:486628",80.1218143574133
"31_03:486629",84.6408048424745
"31_04:486630",84.4797835680254
"31_05:486631",79.8846889340824
"31_06a:486632",85.3174821374926
"32_01:486633",88.5877122369802
"32_02:486634",85.2327737609554
"32_03a:486635",91.5461116099813
"32_04:486636",82.6330471279917
"33_01a:486637",98.1248579249393
"33_02:486638",83.0783115901801
"33_05:486639",79.4959198567787
"33_06:486640",77.2985341007778
