"","value"
"10_01:486532",0.528598525317177
"10_02:486533",0.481685858616312
"10_03a:486534",0.37169123584923
"10_05:486536",0.228501518503786
"11_01:486537",0.577628458397901
"11_02:486538",0.499922003967902
"11_04:486540",0.270779557932671
"11_05:486541",0.299385811799575
"11_06:486542",0.152281301606408
"12_01:486543",0.469920888343357
"12_04:486544",0.318270943758415
"12_05:486545",0.507871880176859
"12_06:486546",0.193059749583576
"13_01:486547",0.296524764400986
"13_03:486549",0.502086719545789
"13_04:486550",0.318326751325062
"13_05:486551",0.961309862729347
"13_06:486552",0.697207435700483
"14_01:486553",0.291153019845331
"14_03:486555",0.265475364618234
"14_04:486556",0.425695767158494
"14_05:486557",2.94128345552914
"14_06:486558",0.506077530621892
"15_03:486560",0.244746606975992
"15_04:486561",0.367096689330797
"15_05:486562",0.24674395142045
"15_06:486563",0.289182317935368
"16_02:486564",0.569237062589648
"16_03a:486565",0.197994869753336
"16_05:486567",0.167629053668444
"17_01:486568",0.47378682129137
"17_02:486569",0.26123146450648
"17_05a:486570",0.462492880003014
"18_01:486571",0.430978568298976
"18_02a:486572",0.32787292664711
"18_03a:486573",0.466107818213107
"18_04:486574",0.25977829407266
"18_05:486575",0.482262965981956
"19_05:486576",0.150834815669402
"20_01:486578",0.196434944274517
"20_03:486580",0.270584060919006
"20_04:486581",0.233840175437859
"20_06:486582",0.117984271839385
"21_05:486585",0.260266613734449
"22_02:486588",0.207713294746531
"22_03:486589",0.482098646745908
"22_06:486591",0.25247528747054
"23_03:486593",0.40154664722015
"24_02a:486594",0.195205759013833
"24_05:486596",0.0827580514592966
"25_01a:486597",0.328215362689794
"25_02:486598",0.304719216893634
"25_03:486599",0.210651131246585
"25_06:486601",0.601401422113787
"26_01a:486602",0.231488667157223
"26_02:486603",0.16743431139324
"26_04:486604",0.352715245505227
"26_05:486605",0.635565774232705
"26_06:486606",0.706403997523183
"27_01:486607",0.444346125975887
"27_04:486609",0.430576347801241
"27_06:486610",0.260241881954005
"28_01:486611",0.283238479422858
"28_02:486612",0.457063171391717
"28_03:486613",0.592948035580411
"28_04:486614",0.612035523551194
"28_05:486615",0.23147698126954
"29_01:486616",0.262817726475344
"29_02a:486619",0.183659421761907
"29_03:486620",0.543952125048239
"29_04:486621",0.430883280705867
"29_05:486617",0.366079228408122
"29_06:486618",0.51450840868039
"30_01a:486622",0.552596609666857
"30_02a:486623",0.243982966385935
"30_03:486624",0.202202763561003
"30_05:486625",0.276121373423987
"30_06:486626",0.649978990372645
"31_01:486627",0.242733257853361
"31_02:486628",0.556602169994889
"31_03:486629",0.696929972644229
"31_04:486630",0.287067854453071
"31_05:486631",0.258894593024774
"32_01:486633",0.576781482480765
"32_02:486634",0.581974678410247
"32_03a:486635",0.330728959732594
"32_04:486636",0.360084069421804
"33_02:486638",0.465942672016936
"33_05:486639",0.591588301175696
"33_06:486640",0.392609297593989
"34_02:486641",0.482724215027141
"34_03:486642",0.452126528123535
"34_05:486643",0.451389925242506
"34_06:486644",0.417366564756558
"35_01:486645",0.572574167868887
"35_02:486646",0.247825855020516
"35_03:486647",0.17144148673466
"36_01:486649",0.223666822482329
"36_02:486650",0.789636931081833
"36_03:486651",0.436988082133569
"36_04:486652",0.822089338118257
"36_05:486653",0.561278341012143
"36_06:486654",0.52419292798188
"37_01:486655",0.586177750550095
"37_03:486656",0.308250697253108
"37_04:486657",0.647036644533733
"37_05:486659",0.322607920118284
"38_01:486661",0.641757561431493
"38_02:486662",0.230774368013734
"38_03:486663",0.544522026997888
"38_04:486664",0.366041675606655
"38_05:486665",0.362173953457089
"38_06:486666",0.498409474212762
"39_02:486667",0.261054693708339
"39_03:486668",0.318040504544341
"39_04:486669",0.116145726738139
"39_05a:486670",0.251649977492833
"39_06:486671",0.484939022814346
"4_04:486501",0.926078832728067
"4_05:486502",0.257264627038038
"40_01:486672",0.333615576335007
"40_03:486673",0.372394544811731
"40_04:486674",0.648918503145369
"40_06:486676",0.238963978418636
"41_01:486677",0.303380922121834
"41_05:486679",0.478898319691378
"41_06:486680",0.297616222399689
"42_01:486681",0.796366666488125
"42_02a:486682",1.00252165211374
"42_03:486683",1.25944950041656
"42_05a:486684",0.15092000747729
"43_01:486686",0.319003444287211
"43_02:486687",0.604896448502603
"43_03:486688",0.401315592393044
"43_05:486689",1.41865410562307
"43_06:486690",0.15314858313047
"44_01:486691",0.66998581621765
"44_02:486692",0.829994585311583
"44_03:486693",0.307591274342938
"44_04:486694",0.105799285131179
"44_05:486695",0.502754196095512
"45_01:486696",0.363492200080832
"45_02:486697",0.345522922325759
"45_03:486698",0.438352932862703
"45_06:486700",0.142165578748024
"46_02:486701",0.262522210810846
"46_03:486702",0.761662580461217
"46_04:486703",0.920108258629368
"46_05:486704",0.141757567694692
"46_06:486705",0.201648934853836
"47_02:486706",0.628896361027769
"47_03:486707",0.886286447866115
"47_04:486708",0.526346175299149
"47_05:486709",0.36484707900623
"48_01:486710",0.21497617646911
"48_02:486711",1.02966837039301
"48_03:486712",0.262935992641274
"48_04:486713",1.11045941836848
"48_05:486714",0.417450222808591
"49_01:486716",1.01488455476212
"49_02:486717",0.233397252564204
"49_04:486719",0.296348923502813
"49_06:486721",0.284319527799173
"5_01:486503",0.205531668136237
"5_02:486504",0.353665179622452
"5_03:486505",0.181323231342366
"5_04a:486506",0.290753832496733
"5_05:486508",0.565286628448239
"5_06:486509",0.233105660598355
"50_01:486722",0.257626412345485
"50_02:486723",0.292059081627555
"50_03:486724",0.396086927700384
"50_04:486725",0.297839052773667
"50_06:486726",0.199052513378582
"51_03:486728",0.40045844913574
"51_04a:486729",0.245694798803441
"51_06:486731",0.388597036933882
"52_03:486733",0.423317816758431
"52_06:486735",0.24410779723152
"53_01:486736",0.223601829887193
"53_02:486737",0.157011955743613
"53_04:486739",0.242751445673799
"53_06:486740",0.115995564329931
"54_01:486742",0.275505777143365
"54_02:486743",0.397492554680127
"54_04:486744",0.243985327558796
"54_05:486745",0.201457381218375
"55_01:486747",0.278915641970746
"55_02:486748",0.210065646305121
"55_04:486749",0.44493107714632
"55_05:486750",0.350697689040086
"56_01:486752",0.265678761032122
"56_03:486753",0.200006490635735
"56_04:486754",0.243565176158742
"56_05:486755",0.300275392793193
"56_06:486756",0.292415289534448
"57_01:486757",0.242212209612995
"57_04:486759",0.181677490511347
"57_05:486760",0.364850008256377
"58_01:486762",0.268816634886446
"58_03:486763",0.215907650934185
"58_04:486764",0.212023742027778
"58_05:486765",0.197792586503276
"58_06a:486766",0.142072651255865
"59_01:486767",0.286812708131963
"59_03:486768",0.181782531406907
"59_04:486769",0.156820758406709
"59_05:486770",0.179556519218118
"59_06:486771",0.208315388707456
"6_01:486510",0.287571185051317
"6_02:486511",0.241783426825039
"6_03:486512",0.163772663400618
"6_04:486513",0.423298537656585
"6_05a:486514",0.135295962393386
"60_01:486772",0.286513948646062
"60_02:486773",0.259628641499312
"60_04:486774",0.24618894253389
"60_05:486775",0.228720478207237
"60_06:486776",0.349389257793376
"61_01:486777",0.283492281586171
"61_02a:486778",0.211343452230119
"7_01a:486515",0.26834657414704
"7_04:486518",0.598864885046103
"7_06:486520",0.523526794159216
"8_01:486521",0.340643875142745
"8_02:486522",0.403126849319109
"8_03:486523",1.14092065262181
"8_04:486524",0.448709094107268
"8_06:486526",0.480522962644003
"9_01:486527",0.405441532369973
"9_04:486529",0.176707657797408
"9_05:486530",0.193609547885628
"B01:486779",0.220659511085729
"B07:486780",0.224381281627538
"B12:486781",0.607181801699335
"B25:486782",0.706531772028803
"B28:486784",0.251514653310602
"B30:486785",0.247579784432335
"B46:486786",0.461211307651074
"B50:486787",0.186541751933032
"D93:486788",0.31594281465928
