"","value"
"10_01:486532",2.14955939530239
"10_02:486533",2.02926551562661
"10_03a:486534",2.1957724635224
"10_05:486536",2.06461441369142
"11_01:486537",2.07872180931864
"11_02:486538",2.11506976635589
"11_04:486540",2.10635670620207
"11_05:486541",2.36098682677626
"11_06:486542",2.45053927878544
"12_01:486543",2.10631629964129
"12_04:486544",2.13833916548477
"12_05:486545",2.05055867755555
"12_06:486546",2.25710384869742
"13_01:486547",2.18434914320608
"13_03:486549",1.91413134156229
"13_04:486550",2.14827611679165
"13_05:486551",1.93288070209788
"13_06:486552",2.13405380712
"14_01:486553",2.1524904758254
"14_03:486555",2.06854717342221
"14_04:486556",2.20435459604878
"14_05:486557",1.62721235151428
"14_06:486558",2.12419184357066
"15_03:486560",2.12747257660277
"15_04:486561",2.23798508676145
"15_05:486562",2.104484596386
"15_06:486563",2.07103377678308
"16_02:486564",2.15248534015062
"16_03a:486565",2.22661548132697
"16_05:486567",2.07825207365967
"17_01:486568",2.16399158341532
"17_02:486569",2.07019247468263
"17_05a:486570",2.0500937039785
"18_01:486571",2.0674923775181
"18_02a:486572",2.13764620002693
"18_03a:486573",2.20231704935257
"18_04:486574",2.29533270678036
"18_05:486575",2.05494917973115
"19_05:486576",2.35513272037756
"20_01:486578",2.09321546317752
"20_03:486580",2.07594842487351
"20_04:486581",2.19156578168902
"20_06:486582",2.46134914510125
"21_05:486585",2.35225415862672
"22_02:486588",2.28631703985267
"22_03:486589",2.1836087956293
"22_06:486591",2.19454658341359
"23_03:486593",2.14889148503569
"24_02a:486594",2.27942707315349
"24_05:486596",2.05179014210921
"25_01a:486597",2.06750262467867
"25_02:486598",2.16853982422527
"25_03:486599",2.22927020100699
"25_06:486601",2.30561592433771
"26_01a:486602",2.26022362388998
"26_02:486603",2.6948327734492
"26_04:486604",2.10155634272135
"26_05:486605",2.08503385107039
"26_06:486606",2.05739661622649
"27_01:486607",2.12569407935054
"27_04:486609",2.14294791080262
"27_06:486610",2.31717522838742
"28_01:486611",2.27994491524897
"28_02:486612",2.03476994829491
"28_03:486613",2.06842197608957
"28_04:486614",2.18022242517806
