"","value"
"10_01:486532",2.67679272256441
"10_02:486533",2.28589911655043
"10_03a:486534",2.81799938969247
"10_05:486536",2.23900875043272
"11_01:486537",2.4186449478595
"11_02:486538",2.52929114386217
"11_03a:486539",2.45132530474566
"11_04:486540",2.38953167971383
"11_05:486541",2.11606455896691
"11_06:486542",2.92162393314332
"12_01:486543",2.52515430631556
"12_04:486544",2.15288065263279
"12_05:486545",2.12479515756374
"12_06:486546",2.51537634270818
"13_01:486547",2.40195446582799
"13_03:486549",2.39547641436244
"13_04:486550",2.19815624515687
"13_05:486551",2.03397678851746
"13_06:486552",1.75822176187442
"14_01:486553",2.38942157852701
"14_02:486554",1.95257817629877
"14_03:486555",2.16203247866885
"14_04:486556",2.99025343611613
"14_05:486557",1.32298696887676
"14_06:486558",2.17668126558065
"15_01a:486559",2.263120316868
"15_03:486560",2.71451399167608
"15_04:486561",2.1945429267527
"15_05:486562",2.22256050448526
"15_06:486563",2.22239584789083
"16_02:486564",2.71006764776102
"16_03a:486565",2.28679162498387
"16_04:486566",2.60057891542302
"16_05:486567",2.32154714183775
"17_01:486568",2.41027196707856
"17_02:486569",3.40660985174687
"17_05a:486570",1.88897212540463
"18_01:486571",2.17067538155111
"18_02a:486572",2.05332297616743
"18_03a:486573",1.97575690373437
"18_04:486574",2.25871894881899
"18_05:486575",2.21174625837046
"19_05:486576",2.92032571582872
"19_06:486577",2.55032816223914
"20_01:486578",2.00469067600713
"20_02a:486579",2.98109954028619
"20_03:486580",3.46390540300131
"20_04:486581",2.8782170399815
"20_06:486582",2.87195455576435
"21_02a:486583",2.38513542937563
"21_04:486584",3.04452748304167
"21_05:486585",2.26127900306408
"22_01:486587",2.42935298002653
"22_02:486588",2.76934953581949
"22_03:486589",1.56663661634141
"22_04:486590",3.35989383116377
"22_06:486591",3.30586220073757
"23_01:486592",3.0708584959238
"23_03:486593",5.96307434037299
"24_02a:486594",4.4058683471386
"24_04:486595",2.67088943862899
"24_05:486596",2.47203784875125
"25_01a:486597",3.06474732217157
"25_02:486598",2.54794817960791
"25_03:486599",2.58277233585617
"25_04:486600",3.20173686171337
"25_06:486601",2.28021591467434
"26_01a:486602",2.93652780906859
