"","value"
"10_01:486532",1.24860077720005
"10_02:486533",1.17333488580192
"10_03a:486534",1.22187387369635
"10_05:486536",1.1544297090886
"11_01:486537",1.13635096687316
"11_02:486538",1.11619407690364
"11_03a:486539",1.28538804183074
"11_04:486540",1.21054418682579
"11_05:486541",1.10302513880176
"11_06:486542",1.20021609177813
"12_01:486543",1.14900238235006
"12_04:486544",1.14605886626074
"12_05:486545",1.06917066199373
"12_06:486546",1.27640126025627
"13_01:486547",1.20006574989179
"13_03:486549",1.15110017768094
"13_04:486550",1.13881184677672
"13_05:486551",1.12891188324563
"13_06:486552",0.978806828872583
"14_01:486553",1.15769551751188
"14_02:486554",1.17314692583067
"14_03:486555",1.2531900323111
"14_04:486556",1.32601581810102
"14_05:486557",0.640702733640648
"14_06:486558",1.12512673742291
"15_01a:486559",1.22212973321485
"15_03:486560",1.16834914672261
"15_04:486561",1.16169245976667
"15_05:486562",1.10316380329275
"15_06:486563",1.18261959854077
"16_02:486564",1.20880651335489
"16_03a:486565",1.26011137879218
"16_04:486566",1.37551462653794
"16_05:486567",1.17840086361176
"17_01:486568",1.13608606755587
"17_02:486569",1.36058609531443
"17_05a:486570",1.07753568567986
"18_01:486571",1.11591134168381
"18_02a:486572",1.00305612145097
"18_03a:486573",1.08900534015331
"18_04:486574",1.36055649766049
"18_05:486575",1.05688921804806
"19_05:486576",1.28653538534113
"19_06:486577",1.37417443643231
"20_01:486578",1.28782686993468
"20_02a:486579",1.3251989331374
"20_03:486580",1.55109113840351
"20_04:486581",1.43425219672955
"20_06:486582",1.40606392456972
"21_02a:486583",1.34264013404733
"21_04:486584",1.33634250328662
"21_05:486585",1.32933613851336
"22_01:486587",1.50567311844284
"22_02:486588",1.24295164801949
"22_03:486589",1.13237820702784
"22_04:486590",1.31061674370573
"22_06:486591",1.31011001416098
"23_01:486592",1.39879930581282
"23_03:486593",1.40207690275945
"24_02a:486594",1.3884914326854
"24_04:486595",1.30069709198021
"24_05:486596",1.41340214684963
"25_01a:486597",1.37184454849015
"25_02:486598",1.28768526305506
"25_03:486599",1.23450122743535
"25_04:486600",1.35611098906272
"25_06:486601",1.17552508648547
"26_01a:486602",1.28325709908433
"26_02:486603",1.17603826511499
"26_04:486604",1.49869771337429
